	chrom	end	start	strand	disruption_SCD	insertion_SCD
581	chr18	60143536	60143517	-	17.25	6.348
582	chr2	76114972	76114953	-	17.25	26.88
583	chr1	192722361	192722342	-	17.23	36.0
584	chr13	6737153	6737134	+	17.23	24.25
585	chr10	116199232	116199213	+	17.23	24.89
586	chr18	6627309	6627290	+	17.06	30.4
587	chr7	117375969	117375950	-	17.03	13.42
588	chr11	7200225	7200206	+	17.03	39.34
589	chr3	152474817	152474798	+	16.98	9.51
590	chr12	4107565	4107546	+	16.97	22.11
591	chr18	78212287	78212268	-	16.83	18.31
592	chr2	17842170	17842151	-	16.81	6.844
593	chr5	112429191	112429172	-	16.78	14.19
594	chr9	54169687	54169668	+	16.73	16.64
595	chr9	78597063	78597044	+	16.73	17.98
596	chr2	125556029	125556010	+	16.69	19.19
597	chr4	86545837	86545818	-	16.69	26.34
598	chr11	34229190	34229171	+	16.55	19.56
599	chr13	60479163	60479144	+	16.52	1.697
600	chr11	57788119	57788100	+	16.36	29.88
601	chr5	117504639	117504620	+	16.36	53.34
602	chr1	128368923	128368904	+	16.28	14.01
603	chr14	51098507	51098488	-	16.28	41.22
604	chr10	14404268	14404249	+	16.23	20.66
605	chr18	65752297	65752278	-	16.1	16.11
606	chr3	59077498	59077479	+	16.1	40.72
607	chr1	119919473	119919454	+	16.06	20.62
608	chr1	86598699	86598680	+	16.03	48.72
609	chr1	80178208	80178189	-	16.0	17.12
610	chr15	64132164	64132145	+	15.96	15.336
611	chr2	4652218	4652199	-	15.91	22.83
612	chr9	40805489	40805470	-	15.86	35.53
613	chr13	30549079	30549060	-	15.805	25.34
614	chr3	82350530	82350511	-	15.805	7.78
615	chr7	81155234	81155215	-	15.805	19.0
616	chr4	107701325	107701306	-	15.8	18.55
617	chr11	76655250	76655231	+	15.8	25.19
618	chr7	122945377	122945358	+	15.72	20.64
619	chr16	32697312	32697293	+	15.695	24.02
620	chr13	114460825	114460806	-	15.65	8.25
621	chr19	59389409	59389390	+	15.65	31.4
622	chr7	45451495	45451476	+	15.64	35.4
623	chr15	85599066	85599047	+	15.625	30.86
624	chr10	9012998	9012979	+	15.6	21.77
625	chr13	24318872	24318853	-	15.58	11.58
626	chr3	123506917	123506898	-	15.53	17.17
627	chr13	101719731	101719712	-	15.48	25.34
628	chr12	12412898	12412879	-	15.43	30.47
629	chr10	127342496	127342477	-	15.4	29.73
630	chr7	28972871	28972852	+	15.39	21.2
631	chr5	130862481	130862462	+	15.33	29.22
632	chr13	53779354	53779335	+	15.31	23.8
633	chr11	51582940	51582921	-	15.305	26.1
634	chr3	34150257	34150238	+	15.3	17.19
635	chr9	30423156	30423137	-	15.29	30.31
636	chr1	55886585	55886566	+	15.29	16.73
637	chr8	121104251	121104232	+	15.28	31.56
638	chr2	31683894	31683875	+	15.27	30.73
639	chr9	121458682	121458663	+	15.27	42.72
640	chr13	111421545	111421526	+	15.22	27.25
641	chr18	56572965	56572946	+	15.22	32.7
642	chr18	42593315	42593296	+	15.2	8.75
643	chr8	118287683	118287664	+	15.2	7.145
644	chr14	47742843	47742824	+	15.18	9.65
645	chr1	184791312	184791293	-	15.164	27.39
646	chr6	106800166	106800147	-	15.1	18.75
647	chr11	12025880	12025861	+	15.06	18.02
648	chr5	129594341	129594322	-	15.03	29.4
649	chr13	16005724	16005705	+	15.016	13.71
650	chr14	65597230	65597211	+	15.016	14.01
651	chr5	99900280	99900261	-	14.95	10.75
652	chr8	11421350	11421331	-	14.945	26.12
653	chr19	4755748	4755729	+	14.93	24.55
654	chr10	110733540	110733521	-	14.914	16.5
655	chr5	67752088	67752069	+	14.89	18.31
656	chr9	77381774	77381755	-	14.85	26.45
657	chr18	81951830	81951811	-	14.76	34.06
658	chr1	86059644	86059625	+	14.734	30.22
659	chr1	52630636	52630617	-	14.734	9.89
660	chr2	174308107	174308088	+	14.69	14.67
661	chr11	99364649	99364630	-	14.6	16.03
662	chr13	109558424	109558405	+	14.49	16.98
663	chr12	58201405	58201386	-	14.48	6.883
664	chr7	137471937	137471918	+	14.445	28.83
665	chr17	26916803	26916784	+	14.414	25.05
666	chr5	87871626	87871607	-	14.414	20.39
667	chr2	125252443	125252424	+	14.414	25.9
668	chr1	9549185	9549166	+	14.414	19.5
669	chr11	11788608	11788589	-	14.38	31.97
670	chr7	43928727	43928708	+	14.36	11.45
671	chr10	60760656	60760637	-	14.31	36.9
672	chr6	17362958	17362939	+	14.31	3.076
673	chr1	136521528	136521509	-	14.305	21.69
674	chr2	153147934	153147915	+	14.28	18.94
675	chr8	61522313	61522294	+	14.266	28.28
676	chr18	56759303	56759284	+	14.266	12.61
677	chr14	115451146	115451127	-	14.234	4.215
678	chr1	176218428	176218409	+	14.195	14.99
679	chr15	97665520	97665501	-	14.18	30.02
680	chr13	20299620	20299601	+	14.18	33.25
681	chr9	59969601	59969582	-	14.14	17.69
682	chr16	57611975	57611956	+	14.055	18.66
683	chr12	15816144	15816125	+	13.984	8.52
684	chr15	82271381	82271362	-	13.95	28.55
685	chr7	74363644	74363625	-	13.95	40.8
686	chr3	73066293	73066274	+	13.95	16.86
687	chr1	118772515	118772496	-	13.945	30.34
688	chr4	110020493	110020474	-	13.94	26.28
689	chr3	34639420	34639401	-	13.94	14.87
690	chr2	131530224	131530205	-	13.92	25.86
691	chr4	20024128	20024109	+	13.91	12.516
692	chr8	74980870	74980851	-	13.81	30.2
693	chr18	75757719	75757700	+	13.734	18.78
694	chr7	89908147	89908128	-	13.72	13.79
695	chr4	150257406	150257387	+	13.72	23.58
696	chr2	55022781	55022762	-	13.664	7.77
697	chr18	64506771	64506752	-	13.63	18.4
698	chr14	123353156	123353137	-	13.61	11.6
699	chr4	139872794	139872775	+	13.59	35.75
700	chr13	51839869	51839850	+	13.586	21.19
701	chr5	146162789	146162770	+	13.516	23.42
702	chr9	83785201	83785182	+	13.49	14.66
703	chr3	59079480	59079461	+	13.44	28.77
704	chr10	11345312	11345293	-	13.375	5.086
705	chr11	46252188	46252169	-	13.34	28.12
706	chr4	85404971	85404952	+	13.32	14.11
707	chr4	130738774	130738755	+	13.31	16.47
708	chr5	86432914	86432895	+	13.305	16.02
709	chr3	22306829	22306810	+	13.266	18.6
710	chr2	91930225	91930206	-	13.25	19.55
711	chr6	108417714	108417695	+	13.234	10.66
712	chr12	17011790	17011771	-	13.16	20.73
713	chr5	87551137	87551118	-	13.15	21.52
714	chr4	106227683	106227664	-	13.14	14.38
715	chr4	139877472	139877453	+	13.1	27.4
716	chr1	88742593	88742574	-	13.086	17.75
717	chr3	52254088	52254069	+	13.02	34.16
718	chr9	73159469	73159450	+	12.99	27.5
719	chr7	29297253	29297234	-	12.984	28.8
720	chr13	116312336	116312317	-	12.93	10.21
721	chr2	157117146	157117127	-	12.91	21.92
722	chr9	60243712	60243693	+	12.89	13.59
723	chr1	179845066	179845047	-	12.88	17.89
724	chr11	103332754	103332735	+	12.875	24.97
725	chr1	53032774	53032755	-	12.87	13.05
726	chr8	45345197	45345178	+	12.81	16.72
727	chr12	113216133	113216114	+	12.74	53.7
728	chr15	36152194	36152175	-	12.72	16.9
729	chr1	72876274	72876255	+	12.69	17.11
730	chr9	14774009	14773990	+	12.664	9.0
731	chr12	74317197	74317178	-	12.664	11.76
732	chr7	107819649	107819630	-	12.64	16.3
733	chr13	55327907	55327888	+	12.64	17.61
734	chr3	54796015	54795996	+	12.63	22.77
735	chr6	60963937	60963918	+	12.61	7.094
736	chr8	21981891	21981872	-	12.61	17.33
737	chr10	38269349	38269330	-	12.52	19.28
738	chr6	51170619	51170600	-	12.5	20.02
739	chr2	148110356	148110337	-	12.43	16.03
740	chr1	88301823	88301804	-	12.42	19.61
741	chr6	115037959	115037940	-	12.33	15.375
742	chr16	11980974	11980955	+	12.33	3.668
743	chr15	44832771	44832752	-	12.31	24.2
744	chr19	26193888	26193869	-	12.29	7.65
745	chr17	8988263	8988244	-	12.29	10.71
746	chr14	66358860	66358841	+	12.28	18.22
747	chr12	40832432	40832413	-	12.26	13.56
748	chr2	53206958	53206939	-	12.18	12.55
749	chr16	42914617	42914598	+	12.16	7.133
750	chr11	111523686	111523667	-	12.14	23.53
751	chr6	121556678	121556659	+	12.11	18.8
752	chr7	43926199	43926180	-	12.1	21.69
753	chr3	3311028	3311009	+	12.09	10.74
754	chr12	17018680	17018661	+	12.04	21.19
755	chr18	33794794	33794775	+	11.97	24.89
756	chr15	73791915	73791896	+	11.96	24.61
757	chr12	82489256	82489237	+	11.945	11.805
758	chr19	37559803	37559784	+	11.91	21.4
759	chr12	36195155	36195136	-	11.91	7.07
760	chr3	30515246	30515227	-	11.875	11.664
761	chr19	27426681	27426662	-	11.81	11.945
762	chr2	75590427	75590408	-	11.75	21.66
763	chr2	17849498	17849479	+	11.75	6.633
764	chr9	83371155	83371136	-	11.75	6.18
765	chr9	30936846	30936827	-	11.734	17.67
766	chr15	94690037	94690018	+	11.73	23.03
767	chr2	147379133	147379114	+	11.69	9.875
768	chr4	121232314	121232295	-	11.664	7.945
769	chr18	56333219	56333200	-	11.64	4.934
770	chr16	25952209	25952190	-	11.64	6.688
771	chr13	94976326	94976307	+	11.63	16.62
772	chr2	30942898	30942879	-	11.57	22.28
773	chr6	104479441	104479422	+	11.55	10.57
774	chr5	113080039	113080020	-	11.52	26.94
775	chr16	30550607	30550588	-	11.52	17.62
776	chr1	160194976	160194957	+	11.51	18.28
777	chr11	56116782	56116763	-	11.48	30.47
778	chr6	112484521	112484502	-	11.48	12.14
779	chr14	21853546	21853527	-	11.445	30.66
780	chr9	58534993	58534974	+	11.414	20.97
781	chr17	73302318	73302299	+	11.414	39.62
782	chr1	85842459	85842440	-	11.41	14.02
783	chr17	16926410	16926391	-	11.35	2.584
784	chr12	29894861	29894842	+	11.31	16.72
785	chr2	127832989	127832970	+	11.22	7.293
786	chr16	20724653	20724634	+	11.18	15.11
787	chr1	180811112	180811093	-	11.164	28.33
788	chr13	109210611	109210592	-	11.16	17.5
789	chr18	5990207	5990188	-	11.14	3.14
790	chr18	12102268	12102249	-	11.125	23.38
791	chr19	59380193	59380174	+	11.08	23.9
792	chr2	101665476	101665457	+	11.055	26.06
793	chr12	108541242	108541223	-	11.02	27.9
794	chr2	32583648	32583629	+	11.016	30.19
795	chr1	181881807	181881788	-	10.98	11.91
796	chr5	117506576	117506557	+	10.94	40.06
797	chr1	38789153	38789134	+	10.89	22.95
798	chr10	102445139	102445120	-	10.875	19.4
799	chr12	81788941	81788922	+	10.87	12.51
800	chr9	78233462	78233443	-	10.86	15.93
801	chr10	96618527	96618508	+	10.86	3.014
802	chr8	84639419	84639400	-	10.85	34.7
803	chr17	8468905	8468886	+	10.85	20.27
804	chr2	67535551	67535532	+	10.83	7.83
805	chr18	52947340	52947321	+	10.82	10.15
806	chr13	72625410	72625391	-	10.78	6.715
807	chr11	31942449	31942430	+	10.69	22.72
808	chr1	6190743	6190724	-	10.63	7.344
809	chr7	74367549	74367530	+	10.6	15.16
810	chr4	22482970	22482951	+	10.58	4.45
811	chr13	20298018	20297999	+	10.56	24.86
812	chr16	75325511	75325492	-	10.484	5.44
813	chr6	54586377	54586358	+	10.44	8.14
814	chr14	59604211	59604192	-	10.375	15.664
815	chr2	107946040	107946021	-	10.31	11.08
816	chr1	62701219	62701200	-	10.3	12.74
817	chr7	75914120	75914101	+	10.266	24.1
818	chr5	98167679	98167660	+	10.26	12.875
819	chr9	99671799	99671780	+	10.23	22.52
820	chr1	179847901	179847882	+	10.16	11.88
821	chr15	80080817	80080798	-	10.15	32.28
822	chr6	137747756	137747737	-	10.09	27.12
823	chr6	77249625	77249606	-	10.09	6.945
824	chr5	149049190	149049171	-	10.08	15.81
825	chr18	32814407	32814388	-	10.07	2.566
826	chr11	46258405	46258386	-	10.06	20.3
827	chr11	81974830	81974811	-	10.01	5.44
828	chr19	48414047	48414028	+	9.99	12.77
829	chr11	34836484	34836465	+	9.86	20.75
830	chr17	24437345	24437326	-	9.81	19.33
831	chr6	59208753	59208734	-	9.734	12.92
832	chr13	37325694	37325675	-	9.734	20.84
833	chr11	43412967	43412948	-	9.72	22.2
834	chr13	49651342	49651323	-	9.71	2.496
835	chr7	143151380	143151361	+	9.69	18.05
836	chr16	4285478	4285459	-	9.67	7.94
837	chr11	29715017	29714998	-	9.664	9.12
838	chr3	134654263	134654244	+	9.62	3.898
839	chr8	28978824	28978805	-	9.57	7.504
840	chr13	54062269	54062250	-	9.55	10.02
841	chr9	32585514	32585495	+	9.516	12.72
842	chr7	73648212	73648193	-	9.484	13.375
843	chr19	27425889	27425870	-	9.44	11.26
844	chr13	100854377	100854358	-	9.42	17.78
845	chr5	140749784	140749765	-	9.414	22.17
846	chr4	127027444	127027425	+	9.4	22.48
847	chr11	109221866	109221847	-	9.3	9.67
848	chr16	16596794	16596775	+	9.28	5.977
849	chr2	128605294	128605275	-	9.25	9.07
850	chr2	61492265	61492246	+	9.25	6.99
851	chr10	74217479	74217460	+	9.22	7.7
852	chr9	68016722	68016703	+	9.2	8.305
853	chr6	144248136	144248117	+	9.19	7.742
854	chr13	51191948	51191929	+	9.17	5.492
855	chr2	103424848	103424829	-	9.164	12.29
856	chr7	64751734	64751715	-	9.13	16.66
857	chr7	27160004	27159985	+	9.125	14.17
858	chr13	95986545	95986526	+	9.08	13.76
859	chr5	135118653	135118634	+	9.08	29.22
860	chr10	49786914	49786895	-	9.07	0.785
861	chr1	51639072	51639053	+	9.02	3.22
862	chr14	105307894	105307875	+	8.95	2.453
863	chr19	40231990	40231971	-	8.95	19.89
864	chr10	69656526	69656507	+	8.95	12.99
865	chr7	142714879	142714860	-	8.945	27.2
866	chr6	129256260	129256241	-	8.93	14.53
867	chr5	138199783	138199764	+	8.9	8.414
868	chr8	36193738	36193719	+	8.89	10.43
869	chr11	49597354	49597335	+	8.87	6.92
870	chr1	139405977	139405958	-	8.86	4.043
871	chr3	124289118	124289099	-	8.84	12.69
872	chr9	13196005	13195986	-	8.83	30.6
873	chr14	115819240	115819221	+	8.83	10.71
874	chr5	146914595	146914576	+	8.82	39.7
875	chr4	119223866	119223847	-	8.766	16.34
876	chr15	85879204	85879185	-	8.76	17.27
877	chr4	124682485	124682466	+	8.7	17.45
878	chr17	34956526	34956507	+	8.695	22.17
879	chr12	39494054	39494035	-	8.65	2.455
880	chr9	34485824	34485805	-	8.625	10.6
881	chr2	180786948	180786929	+	8.57	17.27
882	chr4	62230989	62230970	+	8.57	12.25
883	chr2	16357480	16357461	+	8.55	2.205
884	chr17	9759516	9759497	+	8.54	11.53
885	chr10	13018670	13018651	+	8.54	19.64
886	chr4	32570820	32570801	-	8.52	6.645
887	chr9	86451919	86451900	-	8.49	16.77
888	chr7	139590495	139590476	+	8.49	20.39
889	chr16	31944169	31944150	+	8.445	14.11
890	chr3	104701211	104701192	-	8.44	24.84
891	chr2	160955546	160955527	-	8.414	14.05
892	chr18	32811889	32811870	+	8.4	4.918
893	chr14	115042240	115042221	-	8.4	14.734
894	chr2	28464119	28464100	-	8.33	19.16
895	chr2	76369931	76369912	+	8.28	9.1
896	chr3	107605512	107605493	+	8.28	12.57
897	chr14	121220891	121220872	-	8.23	10.8
898	chr1	103796539	103796520	+	8.22	10.74
899	chr16	23151589	23151570	+	8.21	3.11
900	chr5	33371346	33371327	-	8.19	15.74
901	chr13	103121088	103121069	-	8.18	6.016
902	chr10	60760529	60760510	+	8.14	24.72
903	chr1	169921787	169921768	+	8.12	12.62
904	chr13	42826816	42826797	-	8.11	17.0
905	chr6	72601930	72601911	+	8.11	24.06
906	chr7	81345319	81345300	-	7.99	7.87
907	chr11	33934471	33934452	+	7.98	18.27
908	chr18	77044808	77044789	-	7.97	11.42
909	chr7	67217278	67217259	+	7.926	7.28
910	chr2	164074027	164074008	+	7.906	10.22
911	chr3	45373410	45373391	+	7.855	1.438
912	chr1	152768355	152768336	-	7.84	9.35
913	chr11	102267665	102267646	-	7.81	17.44
914	chr11	43411664	43411645	-	7.81	21.72
915	chr2	129880054	129880035	+	7.805	6.484
916	chr11	81972241	81972222	+	7.797	9.07
917	chr9	65581143	65581124	-	7.793	11.17
918	chr4	106228720	106228701	+	7.727	13.9
919	chr6	119467876	119467857	+	7.703	18.1
920	chr10	122794511	122794492	+	7.695	15.734
921	chr14	34813484	34813465	-	7.69	11.805
922	chr15	19280629	19280610	+	7.68	3.066
923	chr13	38235597	38235578	-	7.676	11.836
924	chr13	21710105	21710086	+	7.67	14.95
925	chr11	104231353	104231334	-	7.67	18.38
926	chr6	86401304	86401285	-	7.64	23.28
927	chr4	24245320	24245301	-	7.633	3.027
928	chr9	29655082	29655063	+	7.613	20.11
929	chr9	58535957	58535938	-	7.605	16.9
930	chr5	112427478	112427459	-	7.598	9.93
931	chr4	140539353	140539334	-	7.58	22.9
932	chr14	105302910	105302891	+	7.57	4.605
933	chr7	19713404	19713385	-	7.543	26.19
934	chr1	127487367	127487348	-	7.52	14.33
935	chr19	56806125	56806106	-	7.504	5.934
936	chr19	47175662	47175643	-	7.46	21.67
937	chr2	150795624	150795605	-	7.44	6.633
938	chr2	137114826	137114807	+	7.438	4.08
939	chr10	119244230	119244211	+	7.434	4.305
940	chr5	117094622	117094603	+	7.42	22.22
941	chr11	67100384	67100365	-	7.42	22.83
942	chr5	30686988	30686969	+	7.41	18.64
943	chr8	105291139	105291120	-	7.41	11.78
944	chr7	143470174	143470155	-	7.39	17.94
945	chr15	8099290	8099271	-	7.35	8.336
946	chr7	119015949	119015930	+	7.34	17.75
947	chr17	56306039	56306020	-	7.305	16.48
948	chr1	134636895	134636876	+	7.3	5.97
949	chr17	65541217	65541198	+	7.258	9.125
950	chr14	49218880	49218861	+	7.25	8.47
951	chr1	25527154	25527135	+	7.2	7.453
952	chr1	146515575	146515556	+	7.18	3.11
953	chr9	44109578	44109559	+	7.176	33.9
954	chr11	108889358	108889339	+	7.15	8.016
955	chr7	138398615	138398596	+	7.117	4.707
956	chr5	32204842	32204823	+	7.11	6.15
957	chr8	14859581	14859562	+	7.1	5.27
958	chr11	95676507	95676488	-	7.09	14.555
959	chr6	85141186	85141167	+	7.08	33.56
960	chr14	20340404	20340385	-	7.04	15.81
961	chr1	193130339	193130320	-	7.023	5.71
962	chr9	98032882	98032863	+	6.992	4.73
963	chr7	143793289	143793270	+	6.98	21.42
964	chr12	32292312	32292293	-	6.895	8.26
965	chr17	45724453	45724434	-	6.89	12.125
966	chr14	102512314	102512295	+	6.89	1.602
967	chr8	11943038	11943019	+	6.88	5.47
968	chr7	83553561	83553542	+	6.867	8.27
969	chr9	64960779	64960760	-	6.85	16.31
970	chr9	30426996	30426977	+	6.832	15.31
971	chr11	119249183	119249164	+	6.785	23.48
972	chr8	90795542	90795523	+	6.77	10.67
973	chr2	113498926	113498907	-	6.766	9.86
974	chr13	62926662	62926643	+	6.75	4.73
975	chr1	127485025	127485006	+	6.715	16.44
976	chr17	78592615	78592596	+	6.715	8.945
977	chr2	118246134	118246115	-	6.668	13.72
978	chr2	92474875	92474856	-	6.652	13.95
979	chr7	17061423	17061404	+	6.645	15.1
980	chr10	122090678	122090659	+	6.63	8.38
981	chr13	64448147	64448128	+	6.594	17.92
982	chr2	34642611	34642592	-	6.562	14.51
983	chr5	117509743	117509724	+	6.54	26.92
984	chr7	131371109	131371090	+	6.516	4.71
985	chr6	94054143	94054124	-	6.5	13.34
986	chr14	20697228	20697209	+	6.465	17.88
987	chr10	122798121	122798102	+	6.46	15.23
988	chr13	14196604	14196585	+	6.45	1.613
989	chr3	118991976	118991957	+	6.438	8.26
990	chr9	107231295	107231276	-	6.434	7.414
991	chr15	24557016	24556997	-	6.418	3.371
992	chr2	178407758	178407739	+	6.414	11.43
993	chr9	90683476	90683457	-	6.38	1.322
994	chr6	22968335	22968316	-	6.34	6.418
995	chr12	67217811	67217792	+	6.336	1.95
996	chr10	82910438	82910419	+	6.277	10.99
997	chr7	49125716	49125697	+	6.258	16.88
998	chr11	119491305	119491286	-	6.215	10.81
999	chr11	32341308	32341289	-	6.21	14.555
1000	chr19	8713406	8713387	+	6.19	10.44
1001	chr4	48048044	48048025	+	6.152	6.21
1002	chr11	52764825	52764806	+	6.15	7.75
1003	chr13	20564636	20564617	-	6.145	4.82
1004	chr10	39105011	39104992	-	6.14	7.152
1005	chr11	98909856	98909837	-	6.117	18.95
1006	chr1	151025102	151025083	+	6.117	4.496
1007	chr5	98167777	98167758	-	6.113	9.555
1008	chr8	88118562	88118543	+	6.062	3.66
1009	chr16	92511934	92511915	+	6.035	16.34
1010	chr15	25792295	25792276	-	6.008	6.87
1011	chr13	92751194	92751175	+	5.938	12.68
1012	chr5	101688793	101688774	-	5.934	12.51
1013	chr7	112023252	112023233	+	5.93	8.26
1014	chr14	21854038	21854019	-	5.914	27.36
1015	chr8	32003733	32003714	-	5.9	2.012
1016	chr13	53095394	53095375	-	5.867	6.086
1017	chr1	182554179	182554160	+	5.836	10.15
1018	chr6	18381568	18381549	+	5.832	1.955
1019	chr9	77389590	77389571	+	5.832	5.68
1020	chr16	5254481	5254462	-	5.812	12.77
1021	chr2	93199625	93199606	+	5.797	14.08
1022	chr9	81631651	81631632	-	5.793	3.863
1023	chr2	152887412	152887393	-	5.78	4.652
1024	chr4	153481137	153481118	-	5.766	3.3
1025	chr8	72239706	72239687	-	5.754	5.32
1026	chr18	65750236	65750217	-	5.703	2.543
1027	chr6	61311882	61311863	-	5.68	7.43
1028	chr18	46143625	46143606	+	5.676	6.477
1029	chr6	120836118	120836099	+	5.64	7.797
1030	chr6	100563990	100563971	-	5.625	4.164
1031	chr3	13475098	13475079	-	5.61	1.948
1032	chr2	132262968	132262949	+	5.6	7.164
1033	chr11	103334169	103334150	+	5.594	12.02
1034	chr6	54255029	54255010	+	5.586	4.35
1035	chr13	101711018	101710999	+	5.543	9.15
1036	chr5	39644761	39644742	-	5.54	3.531
1037	chr8	90795201	90795182	-	5.516	4.996
1038	chr18	23162646	23162627	+	5.51	1.562
1039	chr16	78165563	78165544	+	5.477	7.39
1040	chr2	96584106	96584087	-	5.44	3.29
1041	chr12	72070473	72070454	+	5.426	11.336
1042	chr12	24708691	24708672	+	5.414	9.914
1043	chr8	92367135	92367116	-	5.406	6.984
1044	chr17	83866777	83866758	+	5.4	23.0
1045	chr13	55322636	55322617	-	5.4	7.0
1046	chr6	88893771	88893752	-	5.395	16.78
1047	chr19	8718731	8718712	-	5.383	8.6
1048	chr12	59220179	59220160	-	5.38	2.5
1049	chr14	60784526	60784507	+	5.367	16.06
1050	chr3	153658591	153658572	+	5.33	6.258
1051	chr9	77386949	77386930	-	5.312	12.24
1052	chr10	83219903	83219884	+	5.312	6.188
1053	chr6	15176967	15176948	-	5.31	2.947
1054	chr2	152604207	152604188	-	5.27	19.44
1055	chr2	39003369	39003350	-	5.26	1.671
1056	chr16	31425707	31425688	-	5.254	13.484
1057	chr5	137503018	137502999	-	5.227	3.691
1058	chr18	13973086	13973067	-	5.207	0.71
1059	chr17	68849016	68848997	-	5.2	1.891
1060	chr2	128408931	128408912	-	5.19	8.72
1061	chr14	97559790	97559771	-	5.16	2.041
1062	chr8	67903864	67903845	-	5.13	6.113
1063	chr14	56888181	56888162	-	5.125	3.316
1064	chr4	132198465	132198446	+	5.125	11.19
1065	chr2	39005861	39005842	-	5.12	3.883
1066	chr7	137471679	137471660	-	5.1	19.97
1067	chr6	64949075	64949056	+	5.09	5.168
1068	chr18	16821148	16821129	+	5.043	1.935
1069	chr2	93813566	93813547	+	5.04	13.086
1070	chr6	126481478	126481459	-	5.023	10.89
1071	chr1	181881093	181881074	-	4.984	10.19
1072	chr6	108065822	108065803	-	4.977	6.67
1073	chr4	88550373	88550354	+	4.938	4.04
1074	chr5	137502167	137502148	+	4.867	8.81
1075	chr8	77618148	77618129	-	4.86	4.188
1076	chr7	120098024	120098005	+	4.855	7.22
1077	chr2	75152706	75152687	-	4.824	10.55
1078	chr11	87950193	87950174	+	4.78	11.09
1079	chr11	94598936	94598917	-	4.746	10.49
1080	chr1	10229119	10229100	+	4.746	0.972
1081	chr7	143476888	143476869	+	4.746	8.89
1082	chr9	102607693	102607674	-	4.715	3.604
1083	chr8	32009749	32009730	+	4.71	6.785
1084	chr3	99262117	99262098	-	4.707	1.889
1085	chr18	75607987	75607968	+	4.664	23.11
1086	chr7	75380211	75380192	-	4.64	2.41
1087	chr3	135863108	135863089	+	4.64	3.164
1088	chr4	87369015	87368996	-	4.625	9.125
1089	chr8	84639535	84639516	+	4.605	13.88
1090	chr15	74524301	74524282	+	4.586	13.7
1091	chr17	57007316	57007297	-	4.582	9.42
1092	chr11	30893985	30893966	+	4.547	0.9004
1093	chr19	57360190	57360171	-	4.543	2.654
1094	chr8	110102657	110102638	-	4.53	9.24
1095	chr7	135389259	135389240	-	4.53	9.336
1096	chr4	152527530	152527511	+	4.516	13.99
1097	chr13	103710441	103710422	+	4.5	4.57
1098	chr10	120896053	120896034	+	4.5	2.322
1099	chr18	5155632	5155613	-	4.484	6.39
1100	chr12	80141693	80141674	-	4.45	17.05
1101	chr5	118763566	118763547	-	4.418	12.81
1102	chr12	14150175	14150156	+	4.406	3.688
1103	chr10	128990300	128990281	-	4.4	8.03
1104	chr10	30834038	30834019	-	4.37	4.473
1105	chr6	50618483	50618464	+	4.367	12.766
1106	chr15	9748972	9748953	-	4.36	3.496
1107	chr16	92308164	92308145	-	4.355	11.22
1108	chr2	9881964	9881945	-	4.355	2.918
1109	chr8	123106089	123106070	+	4.336	8.18
1110	chr5	98346264	98346245	+	4.324	2.342
1111	chr10	40249841	40249822	-	4.316	12.23
1112	chr3	141457685	141457666	+	4.312	4.707
1113	chr9	40192620	40192601	-	4.3	2.145
1114	chr9	72448248	72448229	+	4.29	7.78
1115	chr13	24316809	24316790	-	4.273	3.682
1116	chr1	50927249	50927230	+	4.258	4.5
1117	chr11	102690417	102690398	-	4.223	12.195
1118	chr4	116627141	116627122	+	4.207	6.52
1119	chr15	76198817	76198798	+	4.164	10.72
1120	chr15	12113620	12113601	-	4.156	3.312
1121	chr1	115675059	115675040	+	4.152	5.223
1122	chr2	34644807	34644788	-	4.15	8.266
1123	chr2	166084974	166084955	-	4.133	18.12
1124	chr11	21571906	21571887	-	4.13	2.105
1125	chr15	9449709	9449690	-	4.062	0.543
1126	chr5	92664520	92664501	-	4.055	3.326
1127	chr12	77001216	77001197	+	4.043	1.105
1128	chr6	93757507	93757488	-	4.01	5.273
1129	chr19	56302794	56302775	+	4.01	3.797
1130	chr13	71954038	71954019	-	4.008	1.19
1131	chr4	17852015	17851996	-	4.0	0.8535
1132	chr18	39136126	39136107	+	3.992	1.932
1133	chr1	153489234	153489215	-	3.99	7.715
1134	chr9	66136172	66136153	-	3.988	5.383
1135	chr11	109621431	109621412	-	3.979	11.484
1136	chr13	91723318	91723299	+	3.959	5.49
1137	chr13	3642291	3642272	-	3.959	4.75
1138	chr13	47304770	47304751	+	3.957	6.746
1139	chr2	121144456	121144437	+	3.953	4.504
1140	chr13	93772223	93772204	-	3.928	3.56
1141	chr10	70967079	70967060	+	3.916	4.88
1142	chr13	59417085	59417066	-	3.91	5.0
1143	chr7	102484972	102484953	-	3.883	7.0
1144	chr5	38235667	38235648	-	3.879	10.78
1145	chr14	56885401	56885382	+	3.87	2.412
1146	chr11	75170669	75170650	-	3.861	7.984
1147	chr11	77980417	77980398	+	3.846	9.5
1148	chr9	94738712	94738693	+	3.828	14.92
1149	chr6	140466500	140466481	-	3.816	3.785
1150	chr19	57361025	57361006	-	3.814	6.484
1151	chr12	58972459	58972440	+	3.777	2.135
1152	chr2	61490636	61490617	+	3.775	5.23
1153	chr4	44310651	44310632	+	3.762	4.973
1154	chr11	52766147	52766128	+	3.734	1.83
1155	chr13	72627587	72627568	-	3.717	4.066
