chrom	start	end	boundary_span	jaspar_score	strand	FDR	DETECTION_SCALE	seq_id	background_index	exp_id	orientation	flank_bp	spacer_bp
chr8	44976759	44976778	44970000-44980000	831.0	-	0.0481533195542148	2.111212657236631	613	1	2113	<>	30	60
chr8	44973375	44973394	44970000-44980000	860.0	+	0.0481533195542148	2.111212657236631	614	1	2114	<>	30	60
chr10	9743390	9743409	9740000-9750000	842.0	-	0.0481222791838653	2.111212657236631	615	1	2115	<>	30	60
chr19	8695559	8695578	8690000-8700000	913.0	+	0.0481123462327418	2.599207668339954	616	1	2116	<>	30	60
chr19	8690673	8690692	8690000-8700000	804.0	+	0.0481123462327418	2.599207668339954	617	1	2117	<>	30	60
chr19	8692041	8692060	8690000-8700000	868.0	-	0.0481123462327418	2.599207668339954	618	1	2118	<>	30	60
chr19	13817766	13817785	13810000-13820000	870.0	-	0.0481123462327418	2.111212657236631	619	1	2119	<>	30	60
chr19	13819037	13819056	13810000-13820000	920.0	-	0.0481123462327418	2.111212657236631	620	1	2120	<>	30	60
chr4	40050710	40050729	40050000-40060000	800.0	-	0.0481082722893356	2.111212657236631	621	1	2121	<>	30	60
chr18	75920362	75920381	75920000-75930000	803.0	+	0.0480964527184028	2.111212657236631	622	1	2122	<>	30	60
chr18	76552724	76552743	76550000-76560000	846.0	-	0.0480964527184028	2.599207668339954	623	1	2123	<>	30	60
chr18	76146566	76146585	76140000-76150000	802.0	-	0.0480964527184028	2.111212657236631	624	1	2124	<>	30	60
chr18	75920906	75920925	75920000-75930000	809.0	-	0.0480964527184028	2.111212657236631	625	1	2125	<>	30	60
chr18	76147109	76147128	76140000-76150000	828.0	-	0.0480964527184028	2.111212657236631	626	1	2126	<>	30	60
chr18	76389293	76389312	76380000-76390000	800.0	+	0.0480964527184028	2.599207668339954	627	1	2127	<>	30	60
chr18	76388671	76388690	76380000-76390000	822.0	+	0.0480964527184028	2.599207668339954	628	1	2128	<>	30	60
chr18	76383907	76383926	76380000-76390000	824.0	+	0.0480964527184028	2.599207668339954	629	1	2129	<>	30	60
chr18	76148048	76148067	76140000-76150000	810.0	+	0.0480964527184028	2.111212657236631	630	1	2130	<>	30	60
chr18	75921975	75921994	75920000-75930000	859.0	-	0.0480964527184028	2.111212657236631	631	1	2131	<>	30	60
chr18	76380265	76380284	76380000-76390000	874.0	+	0.0480964527184028	2.599207668339954	632	1	2132	<>	30	60
chr18	76381942	76381961	76380000-76390000	808.0	+	0.0480964527184028	2.599207668339954	633	1	2133	<>	30	60
chr18	76380521	76380540	76380000-76390000	812.0	+	0.0480964527184028	2.599207668339954	634	1	2134	<>	30	60
chr18	76551729	76551748	76550000-76560000	912.0	-	0.0480964527184028	2.599207668339954	635	1	2135	<>	30	60
chr18	75926755	75926774	75920000-75930000	805.0	-	0.0480964527184028	2.111212657236631	636	1	2136	<>	30	60
chr18	76557159	76557178	76550000-76560000	802.0	-	0.0480964527184028	2.599207668339954	637	1	2137	<>	30	60
chr18	75922365	75922384	75920000-75930000	809.0	-	0.0480964527184028	2.111212657236631	638	1	2138	<>	30	60
chr4	114906188	114906207	114900000-114910000	838.0	-	0.048078430794312	2.599207668339954	639	1	2139	<>	30	60
chr4	114406739	114406758	114400000-114410000	831.0	+	0.048078430794312	2.599207668339954	640	1	2140	<>	30	60
chr4	114901429	114901448	114900000-114910000	889.0	-	0.048078430794312	2.599207668339954	641	1	2141	<>	30	60
chr4	114905601	114905620	114900000-114910000	801.0	-	0.048078430794312	2.599207668339954	642	1	2142	<>	30	60
chr4	114908988	114909007	114900000-114910000	926.0	-	0.048078430794312	2.599207668339954	643	1	2143	<>	30	60
chr4	114405812	114405831	114400000-114410000	850.0	-	0.048078430794312	2.599207668339954	644	1	2144	<>	30	60
chr1	183238131	183238150	183230000-183240000	862.0	-	0.0480777958376017	2.599207668339954	645	1	2145	<>	30	60
chr1	183235769	183235788	183230000-183240000	819.0	-	0.0480777958376017	2.599207668339954	646	1	2146	<>	30	60
chr1	182157318	182157337	182150000-182160000	845.0	+	0.0480777958376017	2.599207668339954	647	1	2147	<>	30	60
chr1	100550382	100550401	100550000-100560000	804.0	+	0.0480767910068462	3.2	648	1	2148	<>	30	60
chr8	121222825	121222844	121220000-121230000	840.0	+	0.0480668857226349	2.111212657236631	649	1	2149	<>	30	60
chr8	121119845	121119864	121110000-121120000	849.0	+	0.0480668857226349	2.111212657236631	650	1	2150	<>	30	60
chr8	124362202	124362221	124360000-124370000	836.0	-	0.0480668857226349	2.111212657236631	651	1	2151	<>	30	60
chr8	121220531	121220550	121220000-121230000	824.0	-	0.0480668857226349	2.111212657236631	652	1	2152	<>	30	60
chr8	123643503	123643522	123640000-123650000	800.0	-	0.0480668857226349	2.111212657236631	653	1	2153	<>	30	60
chr8	121117790	121117809	121110000-121120000	809.0	-	0.0480668857226349	2.111212657236631	654	1	2154	<>	30	60
chr8	121227859	121227878	121220000-121230000	817.0	-	0.0480668857226349	2.111212657236631	655	1	2155	<>	30	60
chr8	123643129	123643148	123640000-123650000	807.0	-	0.0480668857226349	2.111212657236631	656	1	2156	<>	30	60
chr8	121224367	121224386	121220000-121230000	823.0	-	0.0480668857226349	2.111212657236631	657	1	2157	<>	30	60
chr8	121225055	121225074	121220000-121230000	801.0	-	0.0480668857226349	2.111212657236631	658	1	2158	<>	30	60
chr8	121226090	121226109	121220000-121230000	840.0	+	0.0480668857226349	2.111212657236631	659	1	2159	<>	30	60
chr8	121113507	121113526	121110000-121120000	912.0	+	0.0480668857226349	2.111212657236631	660	1	2160	<>	30	60
chr8	121228622	121228641	121220000-121230000	811.0	+	0.0480668857226349	2.111212657236631	661	1	2161	<>	30	60
chr8	121229087	121229106	121220000-121230000	871.0	-	0.0480668857226349	2.111212657236631	662	1	2162	<>	30	60
chr8	121113416	121113435	121110000-121120000	896.0	+	0.0480668857226349	2.111212657236631	663	1	2163	<>	30	60
chr8	123643955	123643974	123640000-123650000	920.0	+	0.0480668857226349	2.111212657236631	664	1	2164	<>	30	60
chr8	124366009	124366028	124360000-124370000	814.0	-	0.0480668857226349	2.111212657236631	665	1	2165	<>	30	60
chr8	124362812	124362831	124360000-124370000	800.0	-	0.0480668857226349	2.111212657236631	666	1	2166	<>	30	60
chr8	121116110	121116129	121110000-121120000	850.0	+	0.0480668857226349	2.111212657236631	667	1	2167	<>	30	60
chr8	121113656	121113675	121110000-121120000	805.0	-	0.0480668857226349	2.111212657236631	668	1	2168	<>	30	60
chr8	124369555	124369574	124360000-124370000	834.0	-	0.0480668857226349	2.111212657236631	669	1	2169	<>	30	60
chr8	124368399	124368418	124360000-124370000	916.0	-	0.0480668857226349	2.111212657236631	670	1	2170	<>	30	60
chr8	121113755	121113774	121110000-121120000	818.0	-	0.0480668857226349	2.111212657236631	671	1	2171	<>	30	60
chr8	124362475	124362494	124360000-124370000	852.0	+	0.0480668857226349	2.111212657236631	672	1	2172	<>	30	60
chr8	121117530	121117549	121110000-121120000	810.0	-	0.0480668857226349	2.111212657236631	673	1	2173	<>	30	60
chr11	36044552	36044571	36040000-36050000	800.0	+	0.0480577776546557	2.111212657236631	674	1	2174	<>	30	60
chr11	36047205	36047224	36040000-36050000	844.0	-	0.0480577776546557	2.111212657236631	675	1	2175	<>	30	60
chr11	36049727	36049746	36040000-36050000	824.0	+	0.0480577776546557	2.111212657236631	676	1	2176	<>	30	60
chr11	29268043	29268062	29260000-29270000	886.0	+	0.0480577776546557	2.111212657236631	677	1	2177	<>	30	60
chr11	29880952	29880971	29880000-29890000	808.0	+	0.0480577776546557	2.111212657236631	678	1	2178	<>	30	60
chr11	36044966	36044985	36040000-36050000	829.0	+	0.0480577776546557	2.111212657236631	679	1	2179	<>	30	60
chr11	29885355	29885374	29880000-29890000	932.0	-	0.0480577776546557	2.111212657236631	680	1	2180	<>	30	60
chr11	37186317	37186336	37180000-37190000	876.0	-	0.0480577776546557	2.111212657236631	681	1	2181	<>	30	60
chr11	36045603	36045622	36040000-36050000	801.0	+	0.0480577776546557	2.111212657236631	682	1	2182	<>	30	60
chr13	21925436	21925455	21920000-21930000	816.0	+	0.0480536061043626	2.111212657236631	683	1	2183	<>	30	60
chr13	23306884	23306903	23300000-23310000	819.0	+	0.0480536061043626	2.111212657236631	684	1	2184	<>	30	60
chr13	35947528	35947547	35940000-35950000	946.0	-	0.0480536061043626	2.111212657236631	685	1	2185	<>	30	60
chr13	23308027	23308046	23300000-23310000	807.0	-	0.0480536061043626	2.111212657236631	686	1	2186	<>	30	60
chr13	21133845	21133864	21130000-21140000	830.0	-	0.0480536061043626	3.2	687	1	2187	<>	30	60
chr13	29838842	29838861	29830000-29840000	914.0	-	0.0480536061043626	2.111212657236631	688	1	2188	<>	30	60
chr13	21923222	21923241	21920000-21930000	850.0	+	0.0480536061043626	2.111212657236631	689	1	2189	<>	30	60
chr13	21136563	21136582	21130000-21140000	870.0	+	0.0480536061043626	3.2	690	1	2190	<>	30	60
chr13	29835371	29835390	29830000-29840000	840.0	-	0.0480536061043626	2.111212657236631	691	1	2191	<>	30	60
chr13	24292574	24292593	24290000-24300000	854.0	-	0.0480536061043626	2.111212657236631	692	1	2192	<>	30	60
chr13	24027661	24027680	24020000-24030000	904.0	+	0.0480536061043626	2.111212657236631	693	1	2193	<>	30	60
chr13	35940191	35940210	35940000-35950000	805.0	+	0.0480536061043626	2.111212657236631	694	1	2194	<>	30	60
chr13	29014149	29014168	29010000-29020000	848.0	-	0.0480536061043626	2.111212657236631	695	1	2195	<>	30	60
chr13	35780888	35780907	35780000-35790000	802.0	-	0.0480536061043626	2.111212657236631	696	1	2196	<>	30	60
chr13	24297426	24297445	24290000-24300000	936.0	-	0.0480536061043626	2.111212657236631	697	1	2197	<>	30	60
chr13	35784262	35784281	35780000-35790000	841.0	+	0.0480536061043626	2.111212657236631	698	1	2198	<>	30	60
chr13	29831336	29831355	29830000-29840000	815.0	+	0.0480536061043626	2.111212657236631	699	1	2199	<>	30	60
chr17	75531002	75531021	75530000-75540000	800.0	-	0.0480508156057108	2.111212657236631	700	1	2200	<>	30	60
chr17	75380303	75380322	75380000-75390000	810.0	+	0.0480508156057108	2.111212657236631	701	1	2201	<>	30	60
chr17	75536860	75536879	75530000-75540000	840.0	-	0.0480508156057108	2.111212657236631	702	1	2202	<>	30	60
chr3	119624945	119624964	119620000-119630000	802.0	-	0.0480468003138791	2.111212657236631	703	1	2203	<>	30	60
chr3	118421196	118421215	118420000-118430000	807.0	-	0.0480468003138791	2.111212657236631	704	1	2204	<>	30	60
chr3	119625532	119625551	119620000-119630000	817.0	+	0.0480468003138791	2.111212657236631	705	1	2205	<>	30	60
chr3	118425908	118425927	118420000-118430000	889.0	+	0.0480468003138791	2.111212657236631	706	1	2206	<>	30	60
chr3	118428703	118428722	118420000-118430000	917.0	+	0.0480468003138791	2.111212657236631	707	1	2207	<>	30	60
chr3	119629102	119629121	119620000-119630000	800.0	-	0.0480468003138791	2.111212657236631	708	1	2208	<>	30	60
chr9	60245108	60245127	60240000-60250000	927.0	+	0.0480142410272495	2.111212657236631	709	1	2209	<>	30	60
chr9	60240658	60240677	60240000-60250000	820.0	+	0.0480142410272495	2.111212657236631	710	1	2210	<>	30	60
chr9	60243693	60243712	60240000-60250000	898.0	+	0.0480142410272495	2.111212657236631	711	1	2211	<>	30	60
chr9	60674313	60674332	60670000-60680000	875.0	+	0.0480142410272495	2.111212657236631	712	1	2212	<>	30	60
chr9	60674191	60674210	60670000-60680000	832.0	-	0.0480142410272495	2.111212657236631	713	1	2213	<>	30	60
chr9	60679290	60679309	60670000-60680000	810.0	-	0.0480142410272495	2.111212657236631	714	1	2214	<>	30	60
chr14	61330207	61330226	61330000-61340000	817.0	+	0.0480064220414496	3.2	715	1	2215	<>	30	60
chr14	61337816	61337835	61330000-61340000	824.0	+	0.0480064220414496	3.2	716	1	2216	<>	30	60
chr14	62464493	62464512	62460000-62470000	843.0	+	0.0480064220414496	3.2	717	1	2217	<>	30	60
chr14	61331101	61331120	61330000-61340000	813.0	-	0.0480064220414496	3.2	718	1	2218	<>	30	60
chr14	61336627	61336646	61330000-61340000	806.0	-	0.0480064220414496	3.2	719	1	2219	<>	30	60
chr14	61330046	61330065	61330000-61340000	804.0	-	0.0480064220414496	3.2	720	1	2220	<>	30	60
chr14	61331476	61331495	61330000-61340000	951.0	+	0.0480064220414496	3.2	721	1	2221	<>	30	60
chr14	79621502	79621521	79620000-79630000	862.0	+	0.0479925161965516	2.111212657236631	722	1	2222	<>	30	60
chr14	79738582	79738601	79730000-79740000	805.0	-	0.0479925161965516	2.111212657236631	723	1	2223	<>	30	60
chr14	79737867	79737886	79730000-79740000	943.0	-	0.0479925161965516	2.111212657236631	724	1	2224	<>	30	60
chr2	85725946	85725965	85720000-85730000	929.0	+	0.0479419721291782	2.111212657236631	725	1	2225	<>	30	60
chr11	33170702	33170721	33170000-33180000	875.0	+	0.0479188377308542	2.111212657236631	726	1	2226	<>	30	60
chr11	33293308	33293327	33290000-33300000	802.0	+	0.0479188377308542	2.111212657236631	727	1	2227	<>	30	60
chr11	33176741	33176760	33170000-33180000	869.0	+	0.0479188377308542	2.111212657236631	728	1	2228	<>	30	60
chr11	33295621	33295640	33290000-33300000	925.0	-	0.0479188377308542	2.111212657236631	729	1	2229	<>	30	60
chr11	115277165	115277184	115270000-115280000	808.0	+	0.0478965366674467	2.111212657236631	730	1	2230	<>	30	60
chr11	115275189	115275208	115270000-115280000	800.0	+	0.0478965366674467	2.111212657236631	731	1	2231	<>	30	60
chr11	115192149	115192168	115190000-115200000	802.0	-	0.0478965366674467	2.111212657236631	732	1	2232	<>	30	60
chr11	115192475	115192494	115190000-115200000	818.0	+	0.0478965366674467	2.111212657236631	733	1	2233	<>	30	60
chr11	115198055	115198074	115190000-115200000	812.0	-	0.0478965366674467	2.111212657236631	734	1	2234	<>	30	60
chr11	115270676	115270695	115270000-115280000	921.0	-	0.0478965366674467	2.111212657236631	735	1	2235	<>	30	60
chr17	42782330	42782349	42780000-42790000	873.0	-	0.0478908872247825	2.599207668339954	736	1	2236	<>	30	60
chr15	31305432	31305451	31300000-31310000	870.0	+	0.0478693547473352	3.6758347359905126	737	1	2237	<>	30	60
chr15	31306627	31306646	31300000-31310000	812.0	-	0.0478693547473352	3.6758347359905126	738	1	2238	<>	30	60
chr15	31309696	31309715	31300000-31310000	942.0	+	0.0478693547473352	3.6758347359905126	739	1	2239	<>	30	60
chr15	31305312	31305331	31300000-31310000	808.0	+	0.0478693547473352	3.6758347359905126	740	1	2240	<>	30	60
chr15	32751460	32751479	32750000-32760000	814.0	+	0.0478693547473352	3.6758347359905126	741	1	2241	<>	30	60
chr1	9090244	9090263	9090000-9100000	809.0	+	0.0478521106399685	2.111212657236631	742	1	2242	<>	30	60
chr1	175053506	175053525	175050000-175060000	846.0	+	0.0478430010576066	2.111212657236631	743	1	2243	<>	30	60
chr1	175054384	175054403	175050000-175060000	833.0	-	0.0478430010576066	2.111212657236631	744	1	2244	<>	30	60
chr16	22267506	22267525	22260000-22270000	883.0	+	0.047824366372422	2.111212657236631	745	1	2245	<>	30	60
chr16	22265346	22265365	22260000-22270000	800.0	+	0.047824366372422	2.111212657236631	746	1	2246	<>	30	60
chr16	23100253	23100272	23100000-23110000	806.0	+	0.047824366372422	2.111212657236631	747	1	2247	<>	30	60
chr12	71768612	71768631	71760000-71770000	921.0	+	0.0478048650257566	2.111212657236631	748	1	2248	<>	30	60
chr12	71763370	71763389	71760000-71770000	877.0	-	0.0478048650257566	2.111212657236631	749	1	2249	<>	30	60
chr17	17394536	17394555	17390000-17400000	957.0	+	0.0477761517432181	2.111212657236631	750	1	2250	<>	30	60
chr17	17390803	17390822	17390000-17400000	817.0	+	0.0477761517432181	2.111212657236631	751	1	2251	<>	30	60
chr17	17393175	17393194	17390000-17400000	921.0	+	0.0477761517432181	2.111212657236631	752	1	2252	<>	30	60
chr17	17393489	17393508	17390000-17400000	809.0	+	0.0477761517432181	2.111212657236631	753	1	2253	<>	30	60
chr3	111069320	111069339	111060000-111070000	852.0	-	0.0477296738668799	2.111212657236631	754	1	2254	<>	30	60
chr3	110392145	110392164	110390000-110400000	832.0	+	0.0477296738668799	2.111212657236631	755	1	2255	<>	30	60
chr3	110394556	110394575	110390000-110400000	819.0	-	0.0477296738668799	2.111212657236631	756	1	2256	<>	30	60
chr14	57619661	57619680	57610000-57620000	900.0	-	0.0476955072718801	3.2	757	1	2257	<>	30	60
chr14	56926213	56926232	56920000-56930000	834.0	-	0.0476955072718801	3.2	758	1	2258	<>	30	60
chr14	57611260	57611279	57610000-57620000	806.0	-	0.0476955072718801	3.2	759	1	2259	<>	30	60
chr9	65603909	65603928	65600000-65610000	930.0	+	0.0476899596661596	2.111212657236631	760	1	2260	<>	30	60
chr9	57433640	57433659	57430000-57440000	816.0	+	0.0476899596661596	5.198415336679908	761	1	2261	<>	30	60
chr9	57433936	57433955	57430000-57440000	900.0	-	0.0476899596661596	5.198415336679908	762	1	2262	<>	30	60
chr9	65605624	65605643	65600000-65610000	943.0	+	0.0476899596661596	2.111212657236631	763	1	2263	<>	30	60
chr9	57433320	57433339	57430000-57440000	845.0	-	0.0476899596661596	5.198415336679908	764	1	2264	<>	30	60
chr1	181890424	181890443	181890000-181900000	824.0	-	0.0476386776249634	2.599207668339954	765	1	2265	<>	30	60
chr1	181895332	181895351	181890000-181900000	819.0	-	0.0476386776249634	2.599207668339954	766	1	2266	<>	30	60
chr1	182527703	182527722	182520000-182530000	856.0	+	0.0476386776249634	2.599207668339954	767	1	2267	<>	30	60
chr17	66344527	66344546	66340000-66350000	840.0	-	0.047629541970856	2.111212657236631	768	1	2268	<>	30	60
chr17	66346156	66346175	66340000-66350000	800.0	-	0.047629541970856	2.111212657236631	769	1	2269	<>	30	60
chr17	66498071	66498090	66490000-66500000	804.0	+	0.047629541970856	2.111212657236631	770	1	2270	<>	30	60
chr17	66490148	66490167	66490000-66500000	897.0	-	0.047629541970856	2.111212657236631	771	1	2271	<>	30	60
chr17	66343228	66343247	66340000-66350000	821.0	-	0.047629541970856	2.111212657236631	772	1	2272	<>	30	60
chr17	66493230	66493249	66490000-66500000	817.0	-	0.047629541970856	2.111212657236631	773	1	2273	<>	30	60
chr17	66342611	66342630	66340000-66350000	818.0	+	0.047629541970856	2.111212657236631	774	1	2274	<>	30	60
chr17	66498196	66498215	66490000-66500000	810.0	-	0.047629541970856	2.111212657236631	775	1	2275	<>	30	60
chr17	66490342	66490361	66490000-66500000	810.0	+	0.047629541970856	2.111212657236631	776	1	2276	<>	30	60
chr17	66340504	66340523	66340000-66350000	804.0	+	0.047629541970856	2.111212657236631	777	1	2277	<>	30	60
chr5	102419270	102419289	102410000-102420000	888.0	+	0.0476210645054998	2.111212657236631	778	1	2278	<>	30	60
chr5	102684541	102684560	102680000-102690000	824.0	+	0.0476210645054998	2.111212657236631	779	1	2279	<>	30	60
chr5	102416710	102416729	102410000-102420000	802.0	+	0.0476210645054998	2.111212657236631	780	1	2280	<>	30	60
chr5	102416274	102416293	102410000-102420000	802.0	-	0.0476210645054998	2.111212657236631	781	1	2281	<>	30	60
chr8	27253858	27253877	27250000-27260000	881.0	+	0.0476133728212013	2.111212657236631	782	1	2282	<>	30	60
chr8	25536065	25536084	25530000-25540000	825.0	+	0.0476133728212013	2.111212657236631	783	1	2283	<>	30	60
chr8	25537078	25537097	25530000-25540000	801.0	+	0.0476133728212013	2.111212657236631	784	1	2284	<>	30	60
chr5	129164138	129164157	129160000-129170000	852.0	+	0.0476035555387566	3.2	785	1	2285	<>	30	60
chr5	129163831	129163850	129160000-129170000	803.0	+	0.0476035555387566	3.2	786	1	2286	<>	30	60
chr16	74857958	74857977	74850000-74860000	880.0	+	0.0475895065623275	2.111212657236631	787	1	2287	<>	30	60
chr12	53996698	53996717	53990000-54000000	808.0	+	0.0475550051429279	2.599207668339954	788	1	2288	<>	30	60
chr12	52920540	52920559	52920000-52930000	841.0	+	0.0475550051429279	2.599207668339954	789	1	2289	<>	30	60
chr12	54095987	54096006	54090000-54100000	809.0	+	0.0475550051429279	2.599207668339954	790	1	2290	<>	30	60
chr12	54491455	54491474	54490000-54500000	832.0	-	0.0475550051429279	2.599207668339954	791	1	2291	<>	30	60
chr12	54092763	54092782	54090000-54100000	806.0	-	0.0475550051429279	2.599207668339954	792	1	2292	<>	30	60
chr12	53996473	53996492	53990000-54000000	812.0	+	0.0475550051429279	2.599207668339954	793	1	2293	<>	30	60
chr12	40843875	40843894	40840000-40850000	814.0	+	0.0475550051429279	2.111212657236631	794	1	2294	<>	30	60
chr12	53999764	53999783	53990000-54000000	813.0	+	0.0475550051429279	2.599207668339954	795	1	2295	<>	30	60
chr12	52922716	52922735	52920000-52930000	815.0	-	0.0475550051429279	2.599207668339954	796	1	2296	<>	30	60
chr12	41349243	41349262	41340000-41350000	815.0	+	0.0475550051429279	2.111212657236631	797	1	2297	<>	30	60
chr12	53992604	53992623	53990000-54000000	939.0	+	0.0475550051429279	2.599207668339954	798	1	2298	<>	30	60
chr12	40843875	40843894	40840000-40850000	814.0	+	0.0475550051429279	2.599207668339954	799	1	2299	<>	30	60
chr12	54099002	54099021	54090000-54100000	907.0	+	0.0475550051429279	2.599207668339954	800	1	2300	<>	30	60
chr12	41340194	41340213	41340000-41350000	824.0	-	0.0475550051429279	2.111212657236631	801	1	2301	<>	30	60
chr12	53995624	53995643	53990000-54000000	832.0	-	0.0475550051429279	2.599207668339954	802	1	2302	<>	30	60
chr5	36225390	36225409	36220000-36230000	863.0	+	0.0475500028254607	2.599207668339954	803	1	2303	<>	30	60
chr5	36025045	36025064	36020000-36030000	857.0	+	0.0475500028254607	2.599207668339954	804	1	2304	<>	30	60
chr5	36229030	36229049	36220000-36230000	815.0	+	0.0475500028254607	2.599207668339954	805	1	2305	<>	30	60
chr5	36028381	36028400	36020000-36030000	895.0	-	0.0475500028254607	2.599207668339954	806	1	2306	<>	30	60
chr5	36022638	36022657	36020000-36030000	839.0	-	0.0475500028254607	2.599207668339954	807	1	2307	<>	30	60
chr5	36224575	36224594	36220000-36230000	853.0	+	0.0475500028254607	2.599207668339954	808	1	2308	<>	30	60
chr5	36223985	36224004	36220000-36230000	896.0	-	0.0475500028254607	2.599207668339954	809	1	2309	<>	30	60
chr5	36020062	36020081	36020000-36030000	801.0	+	0.0475500028254607	2.599207668339954	810	1	2310	<>	30	60
chr10	109737246	109737265	109730000-109740000	809.0	+	0.0475358774123475	2.111212657236631	811	1	2311	<>	30	60
chr10	109735150	109735169	109730000-109740000	803.0	-	0.0475358774123475	2.111212657236631	812	1	2312	<>	30	60
chr10	109504885	109504904	109500000-109510000	896.0	+	0.0475358774123475	2.111212657236631	813	1	2313	<>	30	60
chr10	109500849	109500868	109500000-109510000	805.0	+	0.0475358774123475	2.111212657236631	814	1	2314	<>	30	60
chr17	73307054	73307073	73300000-73310000	808.0	+	0.0475255328032085	2.111212657236631	815	1	2315	<>	30	60
chr17	73804640	73804659	73800000-73810000	832.0	+	0.0475255328032085	2.111212657236631	816	1	2316	<>	30	60
chr17	73300644	73300663	73300000-73310000	804.0	+	0.0475255328032085	2.111212657236631	817	1	2317	<>	30	60
chr17	73302299	73302318	73300000-73310000	921.0	+	0.0475255328032085	2.111212657236631	818	1	2318	<>	30	60
chr17	73303410	73303429	73300000-73310000	979.0	+	0.0475255328032085	2.111212657236631	819	1	2319	<>	30	60
chr2	36009557	36009576	36000000-36010000	923.0	+	0.0475161103776171	2.111212657236631	820	1	2320	<>	30	60
chr2	36008256	36008275	36000000-36010000	931.0	-	0.0475161103776171	2.111212657236631	821	1	2321	<>	30	60
chr2	36009684	36009703	36000000-36010000	808.0	-	0.0475161103776171	2.111212657236631	822	1	2322	<>	30	60
chr2	36006086	36006105	36000000-36010000	835.0	-	0.0475161103776171	2.111212657236631	823	1	2323	<>	30	60
chr2	36276745	36276764	36270000-36280000	909.0	-	0.0475161103776171	2.111212657236631	824	1	2324	<>	30	60
chr2	36005016	36005035	36000000-36010000	813.0	+	0.0475161103776171	2.111212657236631	825	1	2325	<>	30	60
chr2	36001946	36001965	36000000-36010000	811.0	+	0.0475161103776171	2.111212657236631	826	1	2326	<>	30	60
chr2	36002290	36002309	36000000-36010000	800.0	+	0.0475161103776171	2.111212657236631	827	1	2327	<>	30	60
chr5	50698306	50698325	50690000-50700000	911.0	-	0.0474560469974735	3.2	828	1	2328	<>	30	60
chr5	50692347	50692366	50690000-50700000	842.0	+	0.0474560469974735	3.2	829	1	2329	<>	30	60
chr5	49369226	49369245	49360000-49370000	897.0	+	0.0474560469974735	3.2	830	1	2330	<>	30	60
chr2	136138632	136138651	136130000-136140000	819.0	+	0.0474496366834844	2.111212657236631	831	1	2331	<>	30	60
chr2	140659997	140660016	140660000-140670000	808.0	-	0.0474496366834844	3.2	832	1	2332	<>	30	60
chr2	136139525	136139544	136130000-136140000	873.0	-	0.0474496366834844	2.111212657236631	833	1	2333	<>	30	60
chr2	135369501	135369520	135360000-135370000	807.0	-	0.0474496366834844	2.111212657236631	834	1	2334	<>	30	60
chr2	140668456	140668475	140660000-140670000	823.0	+	0.0474496366834844	3.2	835	1	2335	<>	30	60
chr2	135362013	135362032	135360000-135370000	938.0	+	0.0474496366834844	2.111212657236631	836	1	2336	<>	30	60
chr2	135362545	135362564	135360000-135370000	844.0	+	0.0474496366834844	2.111212657236631	837	1	2337	<>	30	60
chr2	135366826	135366845	135360000-135370000	807.0	+	0.0474496366834844	2.111212657236631	838	1	2338	<>	30	60
chr13	118357113	118357132	118350000-118360000	864.0	+	0.0474485007096721	2.599207668339954	839	1	2339	<>	30	60
chr13	118357238	118357257	118350000-118360000	837.0	+	0.0474485007096721	2.599207668339954	840	1	2340	<>	30	60
chr13	118350517	118350536	118350000-118360000	925.0	-	0.0474485007096721	2.599207668339954	841	1	2341	<>	30	60
chr17	8423925	8423944	8420000-8430000	820.0	-	0.0474457669196999	2.111212657236631	842	1	2342	<>	30	60
chr17	8264831	8264850	8260000-8270000	873.0	+	0.0474457669196999	2.111212657236631	843	1	2343	<>	30	60
chr17	8268368	8268387	8260000-8270000	807.0	-	0.0474457669196999	2.111212657236631	844	1	2344	<>	30	60
chr17	8260757	8260776	8260000-8270000	821.0	+	0.0474457669196999	2.111212657236631	845	1	2345	<>	30	60
chr17	5439982	5440001	5430000-5440000	810.0	+	0.0474457669196999	2.599207668339954	846	1	2346	<>	30	60
chr17	8426499	8426518	8420000-8430000	808.0	+	0.0474457669196999	2.111212657236631	847	1	2347	<>	30	60
chr17	8265962	8265981	8260000-8270000	837.0	+	0.0474457669196999	2.111212657236631	848	1	2348	<>	30	60
chr17	5822386	5822405	5820000-5830000	864.0	-	0.0474457669196999	2.599207668339954	849	1	2349	<>	30	60
chr17	12049237	12049256	12040000-12050000	801.0	-	0.0474457669196999	2.111212657236631	850	1	2350	<>	30	60
chr17	8421811	8421830	8420000-8430000	829.0	+	0.0474457669196999	2.111212657236631	851	1	2351	<>	30	60
chr11	33131845	33131864	33130000-33140000	832.0	+	0.047440855103473	2.111212657236631	852	1	2352	<>	30	60
chr11	24065516	24065535	24060000-24070000	872.0	+	0.047440855103473	3.2	853	1	2353	<>	30	60
chr11	24065642	24065661	24060000-24070000	845.0	-	0.047440855103473	3.2	854	1	2354	<>	30	60
chr11	24254272	24254291	24250000-24260000	827.0	+	0.047440855103473	3.2	855	1	2355	<>	30	60
chr11	33133085	33133104	33130000-33140000	804.0	+	0.047440855103473	2.111212657236631	856	1	2356	<>	30	60
chr11	32871214	32871233	32870000-32880000	828.0	+	0.047440855103473	2.111212657236631	857	1	2357	<>	30	60
chr11	24065387	24065406	24060000-24070000	854.0	+	0.047440855103473	3.2	858	1	2358	<>	30	60
