chrom	start	end	boundary_span	jaspar_score	strand	FDR	DETECTION_SCALE	seq_id
chr16	76195914	76195933	76190000-76200000	804.0	+	0.0490395275591491	3.2	312
chr16	90829946	90829965	90820000-90830000	809.0	+	0.0490395275591491	2.111212657236631	313
chr9	108740238	108740257	108740000-108750000	869.0	+	0.0490247365744646	2.111212657236631	314
chr9	108747544	108747563	108740000-108750000	815.0	-	0.0490247365744646	2.111212657236631	315
chr9	108747944	108747963	108740000-108750000	850.0	+	0.0490247365744646	2.111212657236631	316
chr9	108936612	108936631	108930000-108940000	862.0	+	0.0490247365744646	2.111212657236631	317
chr1	118343539	118343558	118340000-118350000	802.0	+	0.04901296722094	2.599207668339954	318
chr1	118341286	118341305	118340000-118350000	800.0	+	0.04901296722094	2.599207668339954	319
chr1	118472531	118472550	118470000-118480000	825.0	-	0.04901296722094	2.599207668339954	320
chr16	89502868	89502887	89500000-89510000	820.0	+	0.0489862976523516	2.111212657236631	321
chr16	89211457	89211476	89210000-89220000	823.0	+	0.0489862976523516	2.111212657236631	322
chr16	89508037	89508056	89500000-89510000	834.0	+	0.0489862976523516	2.111212657236631	323
chr16	89507901	89507920	89500000-89510000	819.0	+	0.0489862976523516	2.111212657236631	324
chr1	23804138	23804157	23800000-23810000	813.0	-	0.0489714343764867	2.111212657236631	325
chr1	23808050	23808069	23800000-23810000	818.0	-	0.0489714343764867	2.111212657236631	326
chr1	23821473	23821492	23820000-23830000	800.0	-	0.0489714343764867	2.111212657236631	327
chr6	127891416	127891435	127890000-127900000	810.0	-	0.0489488344489791	4.222425314473262	328
chr6	127645310	127645329	127640000-127650000	820.0	-	0.0489488344489791	4.222425314473262	329
chr6	127644476	127644495	127640000-127650000	864.0	-	0.0489488344489791	4.222425314473262	330
chr6	127644357	127644376	127640000-127650000	815.0	-	0.0489488344489791	4.222425314473262	331
chr6	127645801	127645820	127640000-127650000	802.0	+	0.0489488344489791	4.222425314473262	332
chr6	127894996	127895015	127890000-127900000	824.0	-	0.0489488344489791	4.222425314473262	333
chr6	127649789	127649808	127640000-127650000	812.0	-	0.0489488344489791	4.222425314473262	334
chr6	127648563	127648582	127640000-127650000	842.0	-	0.0489488344489791	4.222425314473262	335
chr18	45641325	45641344	45640000-45650000	813.0	+	0.0489455869208093	2.111212657236631	336
chr18	46130391	46130410	46130000-46140000	813.0	-	0.0489455869208093	2.111212657236631	337
chr18	46135068	46135087	46130000-46140000	802.0	-	0.0489455869208093	2.111212657236631	338
chr18	46139226	46139245	46130000-46140000	907.0	-	0.0489455869208093	2.111212657236631	339
chr18	45644418	45644437	45640000-45650000	903.0	-	0.0489455869208093	2.111212657236631	340
chr18	45648544	45648563	45640000-45650000	802.0	+	0.0489455869208093	2.111212657236631	341
chr14	25849726	25849745	25840000-25850000	841.0	+	0.0489179887654035	2.111212657236631	342
chr14	27432642	27432661	27430000-27440000	823.0	+	0.0489179887654035	2.111212657236631	343
chr14	32192620	32192639	32190000-32200000	927.0	-	0.0489179887654035	2.111212657236631	344
chr14	93886472	93886491	93880000-93890000	841.0	+	0.0488902536990313	2.111212657236631	345
chr14	93097632	93097651	93090000-93100000	819.0	-	0.0488902536990313	2.111212657236631	346
chr14	93884695	93884714	93880000-93890000	918.0	-	0.0488902536990313	2.111212657236631	347
chr16	48431775	48431794	48430000-48440000	853.0	+	0.0488792629322855	2.599207668339954	348
chr16	48434376	48434395	48430000-48440000	801.0	-	0.0488792629322855	2.599207668339954	349
chr16	48431195	48431214	48430000-48440000	868.0	+	0.0488792629322855	2.599207668339954	350
chr16	48570561	48570580	48570000-48580000	928.0	-	0.0488792629322855	2.599207668339954	351
chr16	39317355	39317374	39310000-39320000	868.0	+	0.0488792629322855	2.111212657236631	352
chr2	91276272	91276291	91270000-91280000	807.0	-	0.0488778681491257	2.111212657236631	353
chr2	91276699	91276718	91270000-91280000	844.0	-	0.0488778681491257	2.111212657236631	354
chr2	91279150	91279169	91270000-91280000	873.0	+	0.0488778681491257	2.111212657236631	355
chr2	91278682	91278701	91270000-91280000	849.0	+	0.0488778681491257	2.111212657236631	356
chr2	91278340	91278359	91270000-91280000	803.0	-	0.0488778681491257	2.111212657236631	357
chr2	91276178	91276197	91270000-91280000	812.0	-	0.0488778681491257	2.111212657236631	358
chr12	10596390	10596409	10590000-10600000	862.0	-	0.0488766901523594	2.111212657236631	359
chr12	10598548	10598567	10590000-10600000	898.0	+	0.0488766901523594	2.111212657236631	360
chr11	40877698	40877717	40870000-40880000	806.0	-	0.0488640277022921	1.8379173679952563	361
chr11	42068206	42068225	42060000-42070000	846.0	-	0.0488640277022921	1.8379173679952563	362
chr11	42068014	42068033	42060000-42070000	855.0	-	0.0488640277022921	1.8379173679952563	363
chr9	86449869	86449888	86440000-86450000	822.0	+	0.0488604978628165	2.111212657236631	364
chr9	86449786	86449805	86440000-86450000	964.0	-	0.0488604978628165	2.111212657236631	365
chr13	83655067	83655086	83650000-83660000	985.0	-	0.0488548553271203	2.599207668339954	366
chr13	83656599	83656618	83650000-83660000	812.0	-	0.0488548553271203	2.599207668339954	367
chr13	83656968	83656987	83650000-83660000	915.0	-	0.0488548553271203	2.599207668339954	368
chr13	83659879	83659898	83650000-83660000	856.0	-	0.0488548553271203	2.599207668339954	369
chr16	13628542	13628561	13620000-13630000	870.0	-	0.0488496639251638	2.111212657236631	370
chr16	13625872	13625891	13620000-13630000	802.0	-	0.0488496639251638	2.111212657236631	371
chr16	13531488	13531507	13530000-13540000	858.0	-	0.0488496639251638	2.111212657236631	372
chr16	13624408	13624427	13620000-13630000	828.0	-	0.0488496639251638	2.111212657236631	373
chr3	30018257	30018276	30010000-30020000	802.0	+	0.0488493077059113	2.111212657236631	374
chr3	30015428	30015447	30010000-30020000	831.0	+	0.0488493077059113	2.111212657236631	375
chr3	30013078	30013097	30010000-30020000	803.0	-	0.0488493077059113	2.111212657236631	376
chr10	22007959	22007978	22000000-22010000	889.0	-	0.0488442061753279	2.599207668339954	377
chr10	20988811	20988830	20980000-20990000	847.0	+	0.0488442061753279	2.599207668339954	378
chr10	20988099	20988118	20980000-20990000	801.0	-	0.0488442061753279	2.599207668339954	379
chr10	20988602	20988621	20980000-20990000	837.0	-	0.0488442061753279	2.599207668339954	380
chr10	22005009	22005028	22000000-22010000	810.0	+	0.0488442061753279	2.599207668339954	381
chr10	22000165	22000184	22000000-22010000	802.0	-	0.0488442061753279	2.599207668339954	382
chr10	22004131	22004150	22000000-22010000	817.0	+	0.0488442061753279	2.599207668339954	383
chr3	62177373	62177392	62170000-62180000	809.0	-	0.0488375294572286	3.2	384
chr3	60696209	60696228	60690000-60700000	823.0	+	0.0488375294572286	3.2	385
chr11	62756910	62756929	62750000-62760000	899.0	+	0.0488126646777841	3.2	386
chr11	62756517	62756536	62750000-62760000	833.0	-	0.0488126646777841	3.2	387
chr11	62751939	62751958	62750000-62760000	806.0	-	0.0488126646777841	3.2	388
chr11	62757085	62757104	62750000-62760000	896.0	+	0.0488126646777841	3.2	389
chr11	62880641	62880660	62880000-62890000	846.0	-	0.0488126646777841	3.2	390
chr5	35343336	35343355	35340000-35350000	910.0	+	0.0488092502751872	2.111212657236631	391
chr5	35340033	35340052	35340000-35350000	816.0	+	0.0488092502751872	2.111212657236631	392
chr5	35059346	35059365	35050000-35060000	814.0	-	0.0488092502751872	2.111212657236631	393
chr5	35054814	35054833	35050000-35060000	806.0	-	0.0488092502751872	2.111212657236631	394
chr5	35348994	35349013	35340000-35350000	913.0	-	0.0488092502751872	2.111212657236631	395
chr5	35340841	35340860	35340000-35350000	834.0	+	0.0488092502751872	2.111212657236631	396
chr5	3818237	3818256	3810000-3820000	826.0	-	0.0488017854244266	2.111212657236631	397
chr5	4091532	4091551	4090000-4100000	826.0	+	0.0488017854244266	2.111212657236631	398
chr5	4099495	4099514	4090000-4100000	813.0	+	0.0488017854244266	2.111212657236631	399
chr5	5766078	5766097	5760000-5770000	800.0	+	0.0488017854244266	2.111212657236631	400
chr5	3813433	3813452	3810000-3820000	813.0	+	0.0488017854244266	2.111212657236631	401
chr6	100866353	100866372	100860000-100870000	800.0	+	0.0487669944165143	2.111212657236631	402
chr6	99782170	99782189	99780000-99790000	800.0	-	0.0487669944165143	2.111212657236631	403
chr6	100865984	100866003	100860000-100870000	857.0	-	0.0487669944165143	2.111212657236631	404
chr14	118461904	118461923	118460000-118470000	803.0	-	0.0487649689851254	2.599207668339954	405
chr14	120386133	120386152	120380000-120390000	805.0	-	0.0487649689851254	2.599207668339954	406
chr14	121770551	121770570	121770000-121780000	808.0	+	0.0487649689851254	3.2	407
chr14	120381776	120381795	120380000-120390000	811.0	-	0.0487649689851254	2.599207668339954	408
chr14	121770251	121770270	121770000-121780000	817.0	-	0.0487649689851254	3.2	409
chr14	118464127	118464146	118460000-118470000	813.0	-	0.0487649689851254	2.599207668339954	410
chr14	118466622	118466641	118460000-118470000	813.0	+	0.0487649689851254	2.599207668339954	411
chr14	118465316	118465335	118460000-118470000	801.0	-	0.0487649689851254	2.599207668339954	412
chr4	90325924	90325943	90320000-90330000	800.0	-	0.0487515597029205	2.599207668339954	413
chr4	84545770	84545789	84540000-84550000	807.0	+	0.0487515597029205	2.599207668339954	414
chr4	84544457	84544476	84540000-84550000	820.0	+	0.0487515597029205	2.599207668339954	415
chr5	88928704	88928723	88920000-88930000	889.0	+	0.0487308024215675	2.599207668339954	416
chr5	89680328	89680347	89680000-89690000	936.0	-	0.0487308024215675	2.599207668339954	417
chr5	88929424	88929443	88920000-88930000	806.0	-	0.0487308024215675	2.599207668339954	418
chr5	89686656	89686675	89680000-89690000	849.0	-	0.0487308024215675	2.599207668339954	419
chr6	79602745	79602764	79600000-79610000	823.0	-	0.0487306091310154	2.599207668339954	420
chr17	52569767	52569786	52560000-52570000	823.0	+	0.0487187084756593	2.111212657236631	421
chr17	52860318	52860337	52860000-52870000	819.0	-	0.0487187084756593	2.111212657236631	422
chr17	52560122	52560141	52560000-52570000	939.0	+	0.0487187084756593	2.111212657236631	423
chr17	52880464	52880483	52880000-52890000	830.0	-	0.0487187084756593	3.2	424
chr17	50284250	50284269	50280000-50290000	806.0	+	0.0487187084756593	2.111212657236631	425
chr17	50974252	50974271	50970000-50980000	822.0	+	0.0487187084756593	2.111212657236631	426
chr19	23524221	23524240	23520000-23530000	812.0	-	0.0487178619838006	2.111212657236631	427
chr19	22300465	22300484	22300000-22310000	807.0	-	0.0487178619838006	2.111212657236631	428
chr19	22301085	22301104	22300000-22310000	857.0	-	0.0487178619838006	2.111212657236631	429
chr19	22303288	22303307	22300000-22310000	859.0	+	0.0487178619838006	2.111212657236631	430
chr19	22304486	22304505	22300000-22310000	941.0	-	0.0487178619838006	2.111212657236631	431
chr19	23523910	23523929	23520000-23530000	896.0	-	0.0487178619838006	2.111212657236631	432
chr19	23521766	23521785	23520000-23530000	823.0	+	0.0487178619838006	2.111212657236631	433
chr1	59625660	59625679	59620000-59630000	837.0	+	0.0486807404148192	3.6758347359905126	434
chr1	59623516	59623535	59620000-59630000	963.0	-	0.0486807404148192	3.6758347359905126	435
chr1	59023817	59023836	59020000-59030000	822.0	-	0.0486807404148192	3.6758347359905126	436
chr2	137118613	137118632	137110000-137120000	827.0	+	0.048672187384647	2.599207668339954	437
chr2	137729429	137729448	137720000-137730000	834.0	-	0.048672187384647	2.599207668339954	438
chr2	137729070	137729089	137720000-137730000	804.0	+	0.048672187384647	2.599207668339954	439
chr2	137728929	137728948	137720000-137730000	842.0	+	0.048672187384647	2.599207668339954	440
chr2	137117675	137117694	137110000-137120000	801.0	-	0.048672187384647	2.599207668339954	441
chr2	137110763	137110782	137110000-137120000	850.0	+	0.048672187384647	2.599207668339954	442
chr2	137113883	137113902	137110000-137120000	830.0	-	0.048672187384647	2.599207668339954	443
chr2	137114807	137114826	137110000-137120000	890.0	+	0.048672187384647	2.599207668339954	444
chr2	137117206	137117225	137110000-137120000	821.0	-	0.048672187384647	2.599207668339954	445
chr2	137116807	137116826	137110000-137120000	859.0	-	0.048672187384647	2.599207668339954	446
chr11	26194096	26194115	26190000-26200000	841.0	+	0.0486626345096771	2.111212657236631	447
chr11	26194689	26194708	26190000-26200000	801.0	+	0.0486626345096771	2.111212657236631	448
chr19	35124067	35124086	35120000-35130000	800.0	-	0.0486099838752231	2.111212657236631	449
chr19	35128309	35128328	35120000-35130000	834.0	+	0.0486099838752231	2.111212657236631	450
chr19	36063350	36063369	36060000-36070000	823.0	-	0.0486099838752231	2.111212657236631	451
chr19	35125490	35125509	35120000-35130000	955.0	+	0.0486099838752231	2.111212657236631	452
chr19	35120513	35120532	35120000-35130000	823.0	+	0.0486099838752231	2.111212657236631	453
chr19	35126294	35126313	35120000-35130000	811.0	+	0.0486099838752231	2.111212657236631	454
chr15	83508031	83508050	83500000-83510000	815.0	-	0.0485946032835323	2.111212657236631	455
chr15	83363833	83363852	83360000-83370000	810.0	+	0.0485946032835323	2.111212657236631	456
chr15	83361364	83361383	83360000-83370000	805.0	+	0.0485946032835323	2.111212657236631	457
chr15	83362963	83362982	83360000-83370000	846.0	+	0.0485946032835323	2.111212657236631	458
chr15	83367414	83367433	83360000-83370000	820.0	-	0.0485946032835323	2.111212657236631	459
chr15	83503885	83503904	83500000-83510000	836.0	-	0.0485946032835323	2.111212657236631	460
chr3	59055168	59055187	59050000-59060000	814.0	+	0.0485861759795567	2.111212657236631	461
chr3	73049483	73049502	73040000-73050000	842.0	-	0.0485861759795567	2.111212657236631	462
chr3	58727278	58727297	58720000-58730000	889.0	+	0.0485861759795567	2.111212657236631	463
chr3	73048798	73048817	73040000-73050000	827.0	+	0.0485861759795567	2.111212657236631	464
chr3	68377627	68377646	68370000-68380000	856.0	-	0.0485861759795567	2.599207668339954	465
chr3	73046465	73046484	73040000-73050000	936.0	-	0.0485861759795567	2.111212657236631	466
chr3	67623746	67623765	67620000-67630000	808.0	+	0.0485861759795567	2.599207668339954	467
chr3	67624772	67624791	67620000-67630000	870.0	+	0.0485861759795567	2.599207668339954	468
chr3	59059063	59059082	59050000-59060000	830.0	+	0.0485861759795567	2.111212657236631	469
chr3	59059428	59059447	59050000-59060000	955.0	-	0.0485861759795567	2.111212657236631	470
chr3	58721567	58721586	58720000-58730000	842.0	+	0.0485861759795567	2.111212657236631	471
chr3	67622683	67622702	67620000-67630000	815.0	+	0.0485861759795567	2.599207668339954	472
chr3	59059920	59059939	59050000-59060000	850.0	-	0.0485861759795567	2.111212657236631	473
chr7	117878925	117878944	117870000-117880000	801.0	+	0.0485775924824258	2.599207668339954	474
chr7	117878649	117878668	117870000-117880000	838.0	-	0.0485775924824258	2.599207668339954	475
chr7	117879513	117879532	117870000-117880000	804.0	-	0.0485775924824258	2.599207668339954	476
chr7	117871625	117871644	117870000-117880000	834.0	+	0.0485775924824258	2.599207668339954	477
chr7	117879959	117879978	117870000-117880000	809.0	+	0.0485775924824258	2.599207668339954	478
chr7	117873339	117873358	117870000-117880000	807.0	+	0.0485775924824258	2.599207668339954	479
chr2	18998238	18998257	18990000-19000000	817.0	-	0.0485701611984988	2.111212657236631	480
chr2	18692148	18692167	18690000-18700000	812.0	-	0.0485701611984988	2.111212657236631	481
chr2	18694634	18694653	18690000-18700000	813.0	-	0.0485701611984988	2.111212657236631	482
chr2	54092170	54092189	54090000-54100000	820.0	+	0.0485668436371291	2.599207668339954	483
chr2	52756872	52756891	52750000-52760000	857.0	+	0.0485668436371291	2.599207668339954	484
chr2	52758822	52758841	52750000-52760000	902.0	+	0.0485668436371291	2.599207668339954	485
chr2	78064592	78064611	78060000-78070000	907.0	+	0.0485262138012459	2.599207668339954	486
chr2	78064238	78064257	78060000-78070000	806.0	-	0.0485262138012459	2.599207668339954	487
chr2	78781727	78781746	78780000-78790000	807.0	+	0.0485262138012459	2.599207668339954	488
chr10	23979594	23979613	23970000-23980000	835.0	+	0.0485248440639475	2.111212657236631	489
chr10	23972526	23972545	23970000-23980000	828.0	-	0.0485248440639475	2.111212657236631	490
chr10	23971275	23971294	23970000-23980000	822.0	-	0.0485248440639475	2.111212657236631	491
chr6	97108541	97108560	97100000-97110000	831.0	-	0.0485172573526212	2.111212657236631	492
chr6	97108422	97108441	97100000-97110000	907.0	-	0.0485172573526212	2.111212657236631	493
chr6	97106971	97106990	97100000-97110000	945.0	-	0.0485172573526212	2.111212657236631	494
chr6	95217700	95217719	95210000-95220000	809.0	+	0.0485172573526212	2.111212657236631	495
chr6	97100673	97100692	97100000-97110000	806.0	-	0.0485172573526212	2.111212657236631	496
chr6	97102186	97102205	97100000-97110000	804.0	-	0.0485172573526212	2.111212657236631	497
chr6	97103887	97103906	97100000-97110000	825.0	-	0.0485172573526212	2.111212657236631	498
chr18	26013456	26013475	26010000-26020000	815.0	+	0.0485074192547011	2.111212657236631	499
chr18	26018232	26018251	26010000-26020000	826.0	-	0.0485074192547011	2.111212657236631	500
chr18	26015284	26015303	26010000-26020000	958.0	+	0.0485074192547011	2.111212657236631	501
chr18	26014357	26014376	26010000-26020000	801.0	-	0.0485074192547011	2.111212657236631	502
chr18	26013766	26013785	26010000-26020000	838.0	-	0.0485074192547011	2.111212657236631	503
chr18	27337937	27337956	27330000-27340000	891.0	-	0.0485074192547011	2.111212657236631	504
chr18	20579349	20579368	20570000-20580000	816.0	+	0.0485074192547011	2.111212657236631	505
chr12	15530380	15530399	15530000-15540000	807.0	+	0.0484623859490436	2.111212657236631	506
chr12	9167150	9167169	9160000-9170000	819.0	+	0.0484623859490436	2.111212657236631	507
chr12	16383816	16383835	16380000-16390000	828.0	-	0.0484623859490436	2.111212657236631	508
chr12	15535968	15535987	15530000-15540000	878.0	+	0.0484623859490436	2.111212657236631	509
chr12	16381555	16381574	16380000-16390000	811.0	-	0.0484623859490436	2.111212657236631	510
chr12	9161855	9161874	9160000-9170000	812.0	+	0.0484623859490436	2.111212657236631	511
chr12	16382575	16382594	16380000-16390000	806.0	+	0.0484623859490436	2.111212657236631	512
chr12	9161992	9162011	9160000-9170000	841.0	-	0.0484623859490436	2.111212657236631	513
chr12	16382757	16382776	16380000-16390000	801.0	-	0.0484623859490436	2.111212657236631	514
chr4	13772657	13772676	13770000-13780000	829.0	+	0.0484464729876151	2.599207668339954	515
chr4	12773237	12773256	12770000-12780000	802.0	+	0.0484464729876151	2.599207668339954	516
chr4	12776087	12776106	12770000-12780000	832.0	+	0.0484464729876151	2.599207668339954	517
chr4	12773686	12773705	12770000-12780000	802.0	+	0.0484464729876151	2.599207668339954	518
chr4	13778030	13778049	13770000-13780000	881.0	-	0.0484464729876151	2.599207668339954	519
chr7	131550280	131550299	131550000-131560000	805.0	+	0.0484431729563444	5.198415336679908	520
chr7	131552186	131552205	131550000-131560000	808.0	-	0.0484431729563444	5.198415336679908	521
chr7	131553559	131553578	131550000-131560000	801.0	-	0.0484431729563444	5.198415336679908	522
chr7	131552186	131552205	131550000-131560000	808.0	-	0.0484431729563444	2.599207668339954	523
chr7	133110241	133110260	133110000-133120000	811.0	+	0.0484431729563444	2.599207668339954	524
chr7	131553029	131553048	131550000-131560000	835.0	+	0.0484431729563444	2.599207668339954	525
chr7	133112099	133112118	133110000-133120000	802.0	-	0.0484431729563444	2.599207668339954	526
chr7	133118732	133118751	133110000-133120000	830.0	+	0.0484431729563444	2.599207668339954	527
chr7	133114581	133114600	133110000-133120000	866.0	-	0.0484431729563444	2.599207668339954	528
chr7	131555560	131555579	131550000-131560000	828.0	+	0.0484431729563444	2.599207668339954	529
chr7	131553029	131553048	131550000-131560000	835.0	+	0.0484431729563444	5.198415336679908	530
chr7	133111071	133111090	133110000-133120000	807.0	-	0.0484431729563444	2.599207668339954	531
chr7	131553559	131553578	131550000-131560000	801.0	-	0.0484431729563444	2.599207668339954	532
chr7	131555560	131555579	131550000-131560000	828.0	+	0.0484431729563444	5.198415336679908	533
chr7	131550280	131550299	131550000-131560000	805.0	+	0.0484431729563444	2.599207668339954	534
chr16	79168370	79168389	79160000-79170000	966.0	+	0.0484120281292135	2.599207668339954	535
chr16	79847336	79847355	79840000-79850000	821.0	+	0.0484120281292135	2.599207668339954	536
chr6	51152128	51152147	51150000-51160000	847.0	+	0.0483906452142094	2.111212657236631	537
chr6	50942002	50942021	50940000-50950000	800.0	-	0.0483906452142094	2.111212657236631	538
chr6	50945322	50945341	50940000-50950000	828.0	-	0.0483906452142094	2.111212657236631	539
chr6	50945871	50945890	50940000-50950000	819.0	+	0.0483906452142094	2.111212657236631	540
chr6	41617328	41617347	41610000-41620000	839.0	-	0.0483906452142094	2.599207668339954	541
chr6	41618590	41618609	41610000-41620000	808.0	+	0.0483906452142094	2.599207668339954	542
chr6	51154216	51154235	51150000-51160000	827.0	+	0.0483906452142094	2.111212657236631	543
chr6	41617831	41617850	41610000-41620000	861.0	-	0.0483906452142094	2.599207668339954	544
chr6	41616109	41616128	41610000-41620000	812.0	+	0.0483906452142094	2.599207668339954	545
chr6	51152967	51152986	51150000-51160000	833.0	+	0.0483906452142094	2.111212657236631	546
chr6	42185988	42186007	42180000-42190000	816.0	+	0.0483906452142094	2.599207668339954	547
chr6	42186390	42186409	42180000-42190000	806.0	+	0.0483906452142094	2.599207668339954	548
chr6	50949625	50949644	50940000-50950000	828.0	+	0.0483906452142094	2.111212657236631	549
chr2	100424952	100424971	100420000-100430000	822.0	+	0.0483733986618827	2.111212657236631	550
chr7	57483139	57483158	57480000-57490000	887.0	-	0.048363366337241	2.111212657236631	551
chr14	62496319	62496338	62490000-62500000	801.0	-	0.0483119311253097	2.111212657236631	552
chr14	62490356	62490375	62490000-62500000	808.0	-	0.0483119311253097	2.111212657236631	553
chr14	62490231	62490250	62490000-62500000	805.0	-	0.0483119311253097	2.111212657236631	554
chr12	61822269	61822288	61820000-61830000	803.0	-	0.0483044865033384	3.6758347359905126	555
chr12	72458168	72458187	72450000-72460000	806.0	+	0.0483044865033384	2.111212657236631	556
chr12	72970836	72970855	72970000-72980000	837.0	-	0.0483044865033384	2.111212657236631	557
chr12	72973305	72973324	72970000-72980000	896.0	-	0.0483044865033384	2.111212657236631	558
chr12	72976067	72976086	72970000-72980000	849.0	-	0.0483044865033384	2.111212657236631	559
chr12	72976902	72976921	72970000-72980000	847.0	-	0.0483044865033384	2.111212657236631	560
chr1	97809683	97809702	97800000-97810000	892.0	+	0.0483019023156992	2.599207668339954	561
chr1	97802732	97802751	97800000-97810000	866.0	-	0.0483019023156992	2.599207668339954	562
chr1	98523758	98523777	98520000-98530000	852.0	-	0.0483019023156992	2.599207668339954	563
chr16	17877288	17877307	17870000-17880000	833.0	-	0.0482534479492045	3.2	564
chr16	18200968	18200987	18200000-18210000	805.0	+	0.0482534479492045	3.2	565
chr16	17874864	17874883	17870000-17880000	814.0	+	0.0482534479492045	3.2	566
chr16	18204895	18204914	18200000-18210000	800.0	+	0.0482534479492045	3.2	567
chr16	18209839	18209858	18200000-18210000	824.0	-	0.0482534479492045	3.2	568
chr6	35380049	35380068	35380000-35390000	889.0	+	0.0482435962346102	2.111212657236631	569
chr6	35381906	35381925	35380000-35390000	812.0	-	0.0482435962346102	2.111212657236631	570
chr6	35381139	35381158	35380000-35390000	926.0	+	0.0482435962346102	2.111212657236631	571
chr6	36249275	36249294	36240000-36250000	905.0	-	0.0482435962346102	2.111212657236631	572
chr6	36241465	36241484	36240000-36250000	849.0	-	0.0482435962346102	2.111212657236631	573
chr9	68016703	68016722	68010000-68020000	809.0	+	0.0482373759793702	2.599207668339954	574
chr9	64334412	64334431	64330000-64340000	856.0	-	0.0482373759793702	2.599207668339954	575
chr9	68017502	68017521	68010000-68020000	823.0	-	0.0482373759793702	2.599207668339954	576
chr9	61020126	61020145	61020000-61030000	855.0	+	0.0482373759793702	3.2	577
chr9	64331859	64331878	64330000-64340000	833.0	-	0.0482373759793702	2.599207668339954	578
chr9	65603909	65603928	65600000-65610000	930.0	+	0.0482373759793702	2.111212657236631	579
chr9	65605624	65605643	65600000-65610000	943.0	+	0.0482373759793702	2.111212657236631	580
chr9	61024879	61024898	61020000-61030000	895.0	+	0.0482373759793702	3.2	581
chr9	64760695	64760714	64760000-64770000	836.0	+	0.0482373759793702	2.599207668339954	582
chr9	64769686	64769705	64760000-64770000	804.0	+	0.0482373759793702	2.599207668339954	583
chr9	65755037	65755056	65750000-65760000	812.0	+	0.0482373759793702	2.111212657236631	584
chr9	68019029	68019048	68010000-68020000	800.0	+	0.0482373759793702	2.599207668339954	585
chr9	71646265	71646284	71640000-71650000	916.0	+	0.0482373759793702	3.2	586
chr9	68015252	68015271	68010000-68020000	878.0	+	0.0482373759793702	2.599207668339954	587
chr9	61022546	61022565	61020000-61030000	816.0	+	0.0482373759793702	3.2	588
chr9	72218516	72218535	72210000-72220000	810.0	+	0.0482373759793702	3.2	589
chr9	61022111	61022130	61020000-61030000	806.0	-	0.0482373759793702	3.2	590
chr9	69308912	69308931	69300000-69310000	811.0	-	0.0482373759793702	2.599207668339954	591
chr9	68015921	68015940	68010000-68020000	800.0	+	0.0482373759793702	2.599207668339954	592
chr19	42314173	42314192	42310000-42320000	807.0	+	0.048235667056205	2.111212657236631	593
chr19	42314825	42314844	42310000-42320000	815.0	-	0.048235667056205	2.111212657236631	594
chr19	42313440	42313459	42310000-42320000	805.0	-	0.048235667056205	2.111212657236631	595
chr19	42316110	42316129	42310000-42320000	946.0	+	0.048235667056205	2.111212657236631	596
chr19	42313273	42313292	42310000-42320000	805.0	-	0.048235667056205	2.111212657236631	597
chr19	42316369	42316388	42310000-42320000	802.0	+	0.048235667056205	2.111212657236631	598
chr7	73398408	73398427	73390000-73400000	822.0	+	0.0482189568424747	3.2	599
chr7	72996058	72996077	72990000-73000000	800.0	-	0.0482189568424747	3.2	600
chr7	72997692	72997711	72990000-73000000	864.0	-	0.0482189568424747	3.2	601
chr7	73399860	73399879	73390000-73400000	800.0	+	0.0482189568424747	3.2	602
chr7	72992971	72992990	72990000-73000000	828.0	+	0.0482189568424747	3.2	603
chr1	176865712	176865731	176860000-176870000	802.0	+	0.0482127683228542	2.599207668339954	604
chr1	176862330	176862349	176860000-176870000	892.0	-	0.0482127683228542	2.599207668339954	605
chr1	175936616	175936635	175930000-175940000	871.0	+	0.0482127683228542	2.599207668339954	606
chr1	176869315	176869334	176860000-176870000	857.0	+	0.0482127683228542	2.599207668339954	607
chr1	175934071	175934090	175930000-175940000	804.0	-	0.0482127683228542	2.599207668339954	608
chr1	175938783	175938802	175930000-175940000	803.0	-	0.0482127683228542	2.599207668339954	609
chr7	18803171	18803190	18800000-18810000	832.0	+	0.0481649202394233	2.111212657236631	610
chr7	18226029	18226048	18220000-18230000	853.0	+	0.0481649202394233	2.111212657236631	611
chr8	44977084	44977103	44970000-44980000	808.0	-	0.0481533195542148	2.111212657236631	612
chr8	44976759	44976778	44970000-44980000	831.0	-	0.0481533195542148	2.111212657236631	613
chr8	44973375	44973394	44970000-44980000	860.0	+	0.0481533195542148	2.111212657236631	614
chr10	9743390	9743409	9740000-9750000	842.0	-	0.0481222791838653	2.111212657236631	615
chr19	8695559	8695578	8690000-8700000	913.0	+	0.0481123462327418	2.599207668339954	616
chr19	8690673	8690692	8690000-8700000	804.0	+	0.0481123462327418	2.599207668339954	617
chr19	8692041	8692060	8690000-8700000	868.0	-	0.0481123462327418	2.599207668339954	618
chr19	13817766	13817785	13810000-13820000	870.0	-	0.0481123462327418	2.111212657236631	619
chr19	13819037	13819056	13810000-13820000	920.0	-	0.0481123462327418	2.111212657236631	620
chr4	40050710	40050729	40050000-40060000	800.0	-	0.0481082722893356	2.111212657236631	621
chr18	75920362	75920381	75920000-75930000	803.0	+	0.0480964527184028	2.111212657236631	622
chr18	76552724	76552743	76550000-76560000	846.0	-	0.0480964527184028	2.599207668339954	623
