Unnamed: 0	initial_df_index	chrom	end	start	strand	disruption_SCD	insertion_SCD	orientation	background_index	flank_bp	spacer_bp
360	4595	chr1	111977780	111977761	+	25.78	32.1	>>	0	3	87
361	2153	chr5	45424489	45424470	-	25.73	30.9	>>	0	3	87
362	741	chr2	61494577	61494558	-	25.72	22.25	>>	0	3	87
363	2479	chr6	13287046	13287027	+	25.69	21.62	>>	0	3	87
364	4261	chr9	116060829	116060810	+	25.66	36.5	>>	0	3	87
365	3424	chr8	17537753	17537734	-	25.64	36.44	>>	0	3	87
366	4111	chr9	77781636	77781617	-	25.62	27.94	>>	0	3	87
367	6166	chr1	5106460	5106441	-	25.56	29.45	>>	0	3	87
368	7079	chr1	93141334	93141315	-	25.53	33.03	>>	0	3	87
369	2705	chr6	97759520	97759501	+	25.52	17.88	>>	0	3	87
370	3730	chr8	119384750	119384731	-	25.47	45.94	>>	0	3	87
371	2659	chr6	88113322	88113303	+	25.38	41.75	>>	0	3	87
372	6519	chr1	101984527	101984508	-	25.38	56.7	>>	0	3	87
373	3527	chr8	54493335	54493316	-	25.34	39.7	>>	0	3	87
374	3823	chr9	24119622	24119603	+	25.33	14.83	>>	0	3	87
375	1235	chr3	50077169	50077150	-	25.31	24.22	>>	0	3	87
376	1629	chr4	47419767	47419748	+	25.23	44.03	>>	0	3	87
377	783	chr2	76115910	76115891	+	25.22	28.97	>>	0	3	87
378	6321	chr1	67174759	67174740	+	25.2	12.74	>>	0	3	87
379	3778	chr8	125574509	125574490	+	25.17	12.85	>>	0	3	87
380	414	chr1	161737065	161737046	-	25.11	39.75	>>	0	3	87
381	1335	chr3	85571455	85571436	-	25.1	9.7	>>	0	3	87
382	7132	chr1	19577078	19577059	-	25.02	27.28	>>	0	3	87
383	7466	chr1	36083087	36083068	-	25.0	29.4	>>	0	3	87
384	3717	chr8	115709616	115709597	-	24.98	9.14	>>	0	3	87
385	4639	chr1	126330794	126330775	-	24.84	24.02	>>	0	3	87
386	6218	chr1	25993551	25993532	+	24.81	33.28	>>	0	3	87
387	2396	chr5	131430355	131430336	-	24.78	45.44	>>	0	3	87
388	14	chr1	9545352	9545333	-	24.78	38.06	>>	0	3	87
389	7453	chr1	28768445	28768426	-	24.75	36.44	>>	0	3	87
390	4352	chr1	24630876	24630857	+	24.72	22.94	>>	0	3	87
391	6949	chr1	54351102	54351083	+	24.53	15.79	>>	0	3	87
392	6601	chr1	20496806	20496787	+	24.47	28.86	>>	0	3	87
393	5476	chr1	109394024	109394005	-	24.44	15.02	>>	0	3	87
394	5550	chr1	21803288	21803269	-	24.42	40.1	>>	0	3	87
395	1384	chr3	103392995	103392976	+	24.38	33.9	>>	0	3	87
396	6212	chr1	25428758	25428739	+	24.31	24.08	>>	0	3	87
397	1477	chr3	135206860	135206841	-	24.3	9.21	>>	0	3	87
398	3547	chr8	65139261	65139242	+	24.3	33.56	>>	0	3	87
399	3841	chr9	29650850	29650831	-	24.23	35.72	>>	0	3	87
400	1451	chr3	127971093	127971074	+	24.2	46.1	>>	0	3	87
401	844	chr2	104035038	104035019	+	24.16	33.7	>>	0	3	87
402	4128	chr9	81635302	81635283	+	24.11	12.08	>>	0	3	87
403	2696	chr6	95484597	95484578	+	24.03	13.41	>>	0	3	87
404	6066	chr1	72293991	72293972	-	23.83	34.2	>>	0	3	87
405	7289	chr1	65490035	65490016	-	23.72	29.94	>>	0	3	87
406	5271	chr1	38123788	38123769	-	23.66	16.0	>>	0	3	87
407	7307	chr1	70184838	70184819	-	23.66	11.39	>>	0	3	87
408	1514	chr3	152095252	152095233	-	23.53	23.67	>>	0	3	87
409	3461	chr8	32002994	32002975	-	23.5	23.94	>>	0	3	87
410	4698	chr1	22206830	22206811	-	23.48	11.1	>>	0	3	87
411	2211	chr5	76541051	76541032	-	23.44	19.22	>>	0	3	87
412	4420	chr1	52106337	52106318	+	23.38	22.61	>>	0	3	87
413	210	chr1	84697462	84697443	-	23.38	25.22	>>	0	3	87
414	148	chr1	67181385	67181366	+	23.34	35.0	>>	0	3	87
415	2733	chr6	101267027	101267008	+	23.31	12.77	>>	0	3	87
416	2826	chr6	129255175	129255156	-	23.25	41.8	>>	0	3	87
417	1830	chr4	115710017	115709998	-	23.19	25.83	>>	0	3	87
418	877	chr2	118241614	118241595	-	23.19	37.16	>>	0	3	87
419	3562	chr8	71371784	71371765	+	23.11	28.11	>>	0	3	87
420	3050	chr7	73422670	73422651	-	23.11	37.7	>>	0	3	87
421	2083	chr5	33039602	33039583	+	23.05	27.48	>>	0	3	87
422	1010	chr2	153143004	153142985	-	23.02	20.31	>>	0	3	87
423	6108	chr1	98181824	98181805	-	23.0	7.93	>>	0	3	87
424	955	chr2	136887058	136887039	-	22.97	12.49	>>	0	3	87
425	351	chr1	135136701	135136682	-	22.88	42.44	>>	0	3	87
426	2032	chr5	4948481	4948462	-	22.86	27.0	>>	0	3	87
427	4474	chr1	71422814	71422795	+	22.81	51.25	>>	0	3	87
428	3544	chr8	64597251	64597232	-	22.66	30.06	>>	0	3	87
429	419	chr1	162336834	162336815	-	22.45	14.914	>>	0	3	87
430	4172	chr9	94738996	94738977	+	22.42	42.94	>>	0	3	87
431	6948	chr1	53403136	53403117	+	22.4	18.28	>>	0	3	87
432	1029	chr2	155811920	155811901	-	22.36	51.28	>>	0	3	87
433	5293	chr1	52010769	52010750	+	22.33	16.6	>>	0	3	87
434	1229	chr3	44912870	44912851	-	22.31	11.58	>>	0	3	87
435	2255	chr5	98348848	98348829	+	22.25	34.97	>>	0	3	87
436	6418	chr1	80706301	80706282	+	22.25	25.52	>>	0	3	87
437	438	chr1	167932285	167932266	-	22.22	36.66	>>	0	3	87
438	6157	chr1	121455709	121455690	-	22.2	25.7	>>	0	3	87
439	1764	chr4	98243714	98243695	-	22.16	26.34	>>	0	3	87
440	1976	chr4	143027468	143027449	+	22.14	29.11	>>	0	3	87
441	1018	chr2	153668926	153668907	+	22.14	25.36	>>	0	3	87
442	3890	chr9	41461929	41461910	-	22.14	12.42	>>	0	3	87
443	1816	chr4	109431143	109431124	-	22.1	22.34	>>	0	3	87
444	2149	chr5	44831505	44831486	-	22.08	22.05	>>	0	3	87
445	3734	chr8	119676601	119676582	-	22.03	33.06	>>	0	3	87
446	6900	chr1	40824060	40824041	-	22.02	34.28	>>	0	3	87
447	6255	chr1	37102366	37102347	-	22.0	13.84	>>	0	3	87
448	296	chr1	119083862	119083843	-	21.92	45.47	>>	0	3	87
449	2142	chr5	41044703	41044684	-	21.78	28.61	>>	0	3	87
450	7434	chr1	24622032	24622013	+	21.77	22.19	>>	0	3	87
451	1269	chr3	58159626	58159607	-	21.75	32.1	>>	0	3	87
452	70	chr1	38130140	38130121	-	21.75	23.66	>>	0	3	87
453	921	chr2	129472129	129472110	-	21.73	30.17	>>	0	3	87
454	3807	chr9	15682043	15682024	-	21.73	11.22	>>	0	3	87
455	4077	chr9	69502720	69502701	-	21.7	34.7	>>	0	3	87
456	5907	chr1	21120676	21120657	+	21.69	43.16	>>	0	3	87
457	3190	chr7	110645588	110645569	-	21.69	43.56	>>	0	3	87
458	6742	chr1	78950579	78950560	-	21.64	3.295	>>	0	3	87
459	3284	chr7	131899517	131899498	+	21.56	16.44	>>	0	3	87
460	3680	chr8	106403484	106403465	-	21.53	20.23	>>	0	3	87
461	7024	chr1	73303429	73303410	+	21.48	50.6	>>	0	3	87
462	205	chr1	83727325	83727306	+	21.48	26.81	>>	0	3	87
463	5568	chr1	29857603	29857584	+	21.42	9.836	>>	0	3	87
464	6127	chr1	104033786	104033767	+	21.34	21.16	>>	0	3	87
465	3230	chr7	119011391	119011372	+	21.31	35.56	>>	0	3	87
466	151	chr1	69165377	69165358	+	21.31	25.0	>>	0	3	87
467	547	chr1	192727176	192727157	+	21.28	21.9	>>	0	3	87
468	3938	chr9	50438293	50438274	-	21.2	27.17	>>	0	3	87
469	6273	chr1	46990407	46990388	-	21.14	10.516	>>	0	3	87
470	5759	chr1	73646874	73646855	+	21.14	37.5	>>	0	3	87
471	6723	chr1	67089956	67089937	+	21.12	15.94	>>	0	3	87
472	798	chr2	83332995	83332976	-	21.02	18.14	>>	0	3	87
473	3384	chr8	10415030	10415011	+	21.0	37.3	>>	0	3	87
474	59	chr1	35716149	35716130	-	20.89	18.69	>>	0	3	87
475	2974	chr7	43920039	43920020	-	20.83	34.3	>>	0	3	87
476	3411	chr8	15138726	15138707	+	20.81	41.03	>>	0	3	87
477	5503	chr1	6515705	6515686	+	20.8	28.08	>>	0	3	87
478	747	chr2	64948996	64948977	-	20.72	23.2	>>	0	3	87
479	7424	chr1	20345737	20345718	+	20.7	55.44	>>	0	3	87
480	2095	chr5	33994851	33994832	+	20.64	14.97	>>	0	3	87
481	6078	chr1	76479953	76479934	+	20.62	37.16	>>	0	3	87
482	1497	chr3	144737048	144737029	+	20.58	28.33	>>	0	3	87
483	575	chr2	13597223	13597204	-	20.5	12.72	>>	0	3	87
484	4271	chr9	118908437	118908418	-	20.5	27.45	>>	0	3	87
485	2017	chr4	153484615	153484596	-	20.39	17.89	>>	0	3	87
486	7406	chr1	12433211	12433192	+	20.36	28.34	>>	0	3	87
487	6237	chr1	31611224	31611205	+	20.34	11.17	>>	0	3	87
488	1399	chr3	107206198	107206179	+	20.34	39.22	>>	0	3	87
489	7060	chr1	86909946	86909927	+	20.31	22.38	>>	0	3	87
490	3114	chr7	89473669	89473650	-	20.22	24.19	>>	0	3	87
491	2521	chr6	35252603	35252584	+	20.22	32.56	>>	0	3	87
492	2808	chr6	126168001	126167982	-	20.17	8.76	>>	0	3	87
493	6690	chr1	42169942	42169923	+	20.12	43.34	>>	0	3	87
494	2675	chr6	90607354	90607335	+	20.11	24.86	>>	0	3	87
495	2506	chr6	31664664	31664645	+	20.11	41.5	>>	0	3	87
496	5812	chr1	100002039	100002020	+	20.02	21.73	>>	0	3	87
497	2701	chr6	97523337	97523318	-	19.97	25.72	>>	0	3	87
498	1864	chr4	123529452	123529433	-	19.95	17.69	>>	0	3	87
499	7247	chr1	53744741	53744722	-	19.94	29.1	>>	0	3	87
500	3800	chr9	13849232	13849213	+	19.9	15.484	>>	0	3	87
501	6202	chr1	14052128	14052109	-	19.89	12.375	>>	0	3	87
502	1299	chr3	68053761	68053742	-	19.88	27.33	>>	0	3	87
503	5976	chr1	50799990	50799971	+	19.83	30.28	>>	0	3	87
504	3523	chr8	50292348	50292329	+	19.83	31.36	>>	0	3	87
505	7525	chr1	52993242	52993223	-	19.81	45.25	>>	0	3	87
506	3436	chr8	24546435	24546416	-	19.8	56.1	>>	0	3	87
507	1083	chr2	166085186	166085167	+	19.78	40.2	>>	0	3	87
508	6414	chr1	80260893	80260874	-	19.75	33.7	>>	0	3	87
509	7322	chr1	75606699	75606680	+	19.72	50.94	>>	0	3	87
510	950	chr2	135957961	135957942	-	19.69	27.1	>>	0	3	87
511	4917	chr1	75179118	75179099	+	19.67	22.83	>>	0	3	87
512	2630	chr6	77628987	77628968	+	19.66	40.56	>>	0	3	87
513	1708	chr4	82614384	82614365	-	19.62	15.836	>>	0	3	87
514	6849	chr1	27190013	27189994	+	19.5	26.89	>>	0	3	87
515	6154	chr1	121451301	121451282	-	19.45	26.11	>>	0	3	87
516	4080	chr9	69987821	69987802	-	19.44	12.234	>>	0	3	87
517	2536	chr6	40479902	40479883	+	19.42	24.72	>>	0	3	87
518	1709	chr4	82619779	82619760	-	19.42	11.22	>>	0	3	87
519	1060	chr2	160593235	160593216	-	19.4	45.8	>>	0	3	87
520	1638	chr4	48691990	48691971	+	19.4	34.88	>>	0	3	87
521	24	chr1	11140123	11140104	-	19.39	7.324	>>	0	3	87
522	2611	chr6	67858160	67858141	+	19.36	18.55	>>	0	3	87
523	253	chr1	91914028	91914009	+	19.36	22.06	>>	0	3	87
524	6364	chr1	76196896	76196877	+	19.33	35.8	>>	0	3	87
525	4768	chr1	43767011	43766992	+	19.27	27.44	>>	0	3	87
526	6793	chr1	8463677	8463658	+	19.23	31.38	>>	0	3	87
527	733	chr2	60442102	60442083	-	19.22	10.555	>>	0	3	87
528	4315	chr1	8242562	8242543	+	19.2	18.4	>>	0	3	87
529	6177	chr1	8382407	8382388	+	19.16	11.64	>>	0	3	87
530	7403	chr1	11360302	11360283	+	19.14	15.06	>>	0	3	87
531	5374	chr1	79305335	79305316	+	19.11	29.94	>>	0	3	87
532	5613	chr1	38992697	38992678	+	19.03	12.445	>>	0	3	87
533	3632	chr8	91147955	91147936	-	19.0	26.05	>>	0	3	87
534	5725	chr1	64443476	64443457	+	19.0	35.6	>>	0	3	87
535	3725	chr8	117898214	117898195	+	18.92	34.16	>>	0	3	87
536	4764	chr1	42423473	42423454	-	18.77	18.48	>>	0	3	87
537	4259	chr9	114957195	114957176	-	18.77	27.38	>>	0	3	87
538	2464	chr5	149647926	149647907	+	18.72	23.06	>>	0	3	87
539	2379	chr5	128440068	128440049	-	18.69	40.7	>>	0	3	87
540	2674	chr6	90606762	90606743	-	18.67	32.6	>>	0	3	87
541	4429	chr1	58560031	58560012	+	18.67	23.25	>>	0	3	87
542	7154	chr1	25538443	25538424	+	18.66	23.94	>>	0	3	87
543	4700	chr1	22987510	22987491	+	18.56	23.83	>>	0	3	87
544	5707	chr1	57269837	57269818	-	18.55	36.6	>>	0	3	87
545	5673	chr1	53096854	53096835	-	18.55	32.88	>>	0	3	87
546	3250	chr7	124783020	124783001	-	18.55	23.44	>>	0	3	87
547	2967	chr7	40687242	40687223	-	18.52	26.28	>>	0	3	87
548	1819	chr4	109438113	109438094	+	18.45	31.61	>>	0	3	87
549	5647	chr1	46663777	46663758	-	18.45	5.215	>>	0	3	87
550	599	chr2	21927862	21927843	-	18.45	17.72	>>	0	3	87
551	4900	chr1	72564476	72564457	-	18.39	17.95	>>	0	3	87
552	6002	chr1	57362951	57362932	-	18.3	10.125	>>	0	3	87
553	5684	chr1	54063511	54063492	-	18.3	12.516	>>	0	3	87
554	3785	chr8	127191530	127191511	+	18.27	39.03	>>	0	3	87
555	1574	chr4	24249781	24249762	+	18.25	8.38	>>	0	3	87
556	463	chr1	175603551	175603532	-	18.2	12.0	>>	0	3	87
557	3283	chr7	131897479	131897460	+	18.19	16.34	>>	0	3	87
558	903	chr2	125259455	125259436	-	18.17	32.72	>>	0	3	87
559	3395	chr8	11943262	11943243	-	18.0	20.05	>>	0	3	87
560	5768	chr1	74861814	74861795	+	17.98	11.664	>>	0	3	87
561	1223	chr3	37302880	37302861	-	17.98	17.84	>>	0	3	87
562	1075	chr2	165391753	165391734	+	17.95	20.97	>>	0	3	87
563	436	chr1	167669968	167669949	-	17.94	39.3	>>	0	3	87
564	5917	chr1	24311319	24311300	+	17.89	24.48	>>	0	3	87
565	2802	chr6	125622660	125622641	+	17.86	24.67	>>	0	3	87
566	6760	chr1	91694897	91694878	+	17.83	21.03	>>	0	3	87
567	3151	chr7	100886752	100886733	-	17.8	33.3	>>	0	3	87
568	1079	chr2	165779092	165779073	+	17.7	43.9	>>	0	3	87
569	1838	chr4	118988734	118988715	-	17.7	12.37	>>	0	3	87
570	4245	chr9	111939788	111939769	+	17.64	16.92	>>	0	3	87
571	3885	chr9	40806571	40806552	+	17.64	39.78	>>	0	3	87
572	7426	chr1	21571392	21571373	+	17.64	11.9	>>	0	3	87
573	4407	chr1	49785057	49785038	-	17.56	2.498	>>	0	3	87
574	1334	chr3	84922220	84922201	+	17.47	28.94	>>	0	3	87
575	5182	chr1	7991018	7990999	+	17.47	17.66	>>	0	3	87
576	3683	chr8	106687694	106687675	+	17.45	42.0	>>	0	3	87
577	7410	chr1	15998346	15998327	+	17.33	27.56	>>	0	3	87
578	4365	chr1	30838389	30838370	+	17.3	7.543	>>	0	3	87
579	561	chr2	6469364	6469345	-	17.28	15.65	>>	0	3	87
580	4009	chr9	59678540	59678521	-	17.28	29.06	>>	0	3	87
581	7265	chr1	60143536	60143517	-	17.25	6.348	>>	0	3	87
582	782	chr2	76114972	76114953	-	17.25	26.88	>>	0	3	87
583	546	chr1	192722361	192722342	-	17.23	36.0	>>	0	3	87
584	5506	chr1	6737153	6737134	+	17.23	24.25	>>	0	3	87
585	4607	chr1	116199232	116199213	+	17.23	24.89	>>	0	3	87
586	7096	chr1	6627309	6627290	+	17.06	30.4	>>	0	3	87
587	3214	chr7	117375969	117375950	-	17.03	13.42	>>	0	3	87
588	4666	chr1	7200225	7200206	+	17.03	39.34	>>	0	3	87
589	1519	chr3	152474817	152474798	+	16.98	9.51	>>	0	3	87
590	5176	chr1	4107565	4107546	+	16.97	22.11	>>	0	3	87
591	7335	chr1	78212287	78212268	-	16.83	18.31	>>	0	3	87
592	584	chr2	17842170	17842151	-	16.81	6.844	>>	0	3	87
593	2300	chr5	112429191	112429172	-	16.78	14.19	>>	0	3	87
594	3957	chr9	54169687	54169668	+	16.73	16.64	>>	0	3	87
595	4122	chr9	78597063	78597044	+	16.73	17.98	>>	0	3	87
596	904	chr2	125556029	125556010	+	16.69	19.19	>>	0	3	87
597	1724	chr4	86545837	86545818	-	16.69	26.34	>>	0	3	87
598	4743	chr1	34229190	34229171	+	16.55	19.56	>>	0	3	87
599	5721	chr1	60479163	60479144	+	16.52	1.697	>>	0	3	87
600	4825	chr1	57788119	57788100	+	16.36	29.88	>>	0	3	87
601	2332	chr5	117504639	117504620	+	16.36	53.34	>>	0	3	87
602	316	chr1	128368923	128368904	+	16.28	14.01	>>	0	3	87
603	5980	chr1	51098507	51098488	-	16.28	41.22	>>	0	3	87
604	4332	chr1	14404268	14404249	+	16.23	20.66	>>	0	3	87
605	7293	chr1	65752297	65752278	-	16.1	16.11	>>	0	3	87
606	1273	chr3	59077498	59077479	+	16.1	40.72	>>	0	3	87
607	303	chr1	119919473	119919454	+	16.06	20.62	>>	0	3	87
608	220	chr1	86598699	86598680	+	16.03	48.72	>>	0	3	87
609	193	chr1	80178208	80178189	-	16.0	17.12	>>	0	3	87
610	6305	chr1	64132164	64132145	+	15.96	15.336	>>	0	3	87
611	553	chr2	4652218	4652199	-	15.91	22.83	>>	0	3	87
612	3884	chr9	40805489	40805470	-	15.86	35.53	>>	0	3	87
613	5572	chr1	30549079	30549060	-	15.805	25.34	>>	0	3	87
614	1321	chr3	82350530	82350511	-	15.805	7.78	>>	0	3	87
615	3092	chr7	81155234	81155215	-	15.805	19.0	>>	0	3	87
616	1805	chr4	107701325	107701306	-	15.8	18.55	>>	0	3	87
617	4927	chr1	76655250	76655231	+	15.8	25.19	>>	0	3	87
618	3245	chr7	122945377	122945358	+	15.72	20.64	>>	0	3	87
619	6661	chr1	32697312	32697293	+	15.695	24.02	>>	0	3	87
620	5859	chr1	114460825	114460806	-	15.65	8.25	>>	0	3	87
621	7557	chr1	59389409	59389390	+	15.65	31.4	>>	0	3	87
622	2987	chr7	45451495	45451476	+	15.64	35.4	>>	0	3	87
623	6451	chr1	85599066	85599047	+	15.625	30.86	>>	0	3	87
624	4318	chr1	9012998	9012979	+	15.6	21.77	>>	0	3	87
625	5561	chr1	24318872	24318853	-	15.58	11.58	>>	0	3	87
626	1443	chr3	123506917	123506898	-	15.53	17.17	>>	0	3	87
627	5820	chr1	101719731	101719712	-	15.48	25.34	>>	0	3	87
628	5198	chr1	12412898	12412879	-	15.43	30.47	>>	0	3	87
629	4649	chr1	127342496	127342477	-	15.4	29.73	>>	0	3	87
630	2927	chr7	28972871	28972852	+	15.39	21.2	>>	0	3	87
631	2395	chr5	130862481	130862462	+	15.33	29.22	>>	0	3	87
632	5682	chr1	53779354	53779335	+	15.31	23.8	>>	0	3	87
633	4789	chr1	51582940	51582921	-	15.305	26.1	>>	0	3	87
634	1212	chr3	34150257	34150238	+	15.3	17.19	>>	0	3	87
635	3844	chr9	30423156	30423137	-	15.29	30.31	>>	0	3	87
636	122	chr1	55886585	55886566	+	15.29	16.73	>>	0	3	87
637	3760	chr8	121104251	121104232	+	15.28	31.56	>>	0	3	87
638	656	chr2	31683894	31683875	+	15.27	30.73	>>	0	3	87
639	4283	chr9	121458682	121458663	+	15.27	42.72	>>	0	3	87
640	5843	chr1	111421545	111421526	+	15.22	27.25	>>	0	3	87
641	7252	chr1	56572965	56572946	+	15.22	32.7	>>	0	3	87
642	7216	chr1	42593315	42593296	+	15.2	8.75	>>	0	3	87
643	3726	chr8	118287683	118287664	+	15.2	7.145	>>	0	3	87
644	5967	chr1	47742843	47742824	+	15.18	9.65	>>	0	3	87
645	514	chr1	184791312	184791293	-	15.164	27.39	>>	0	3	87
646	2741	chr6	106800166	106800147	-	15.1	18.75	>>	0	3	87
647	4682	chr1	12025880	12025861	+	15.06	18.02	>>	0	3	87
648	2386	chr5	129594341	129594322	-	15.03	29.4	>>	0	3	87
649	5525	chr1	16005724	16005705	+	15.016	13.71	>>	0	3	87
650	6034	chr1	65597230	65597211	+	15.016	14.01	>>	0	3	87
651	2262	chr5	99900280	99900261	-	14.95	10.75	>>	0	3	87
652	3389	chr8	11421350	11421331	-	14.945	26.12	>>	0	3	87
653	7370	chr1	4755748	4755729	+	14.93	24.55	>>	0	3	87
654	4591	chr1	110733540	110733521	-	14.914	16.5	>>	0	3	87
655	2191	chr5	67752088	67752069	+	14.89	18.31	>>	0	3	87
656	4107	chr9	77381774	77381755	-	14.85	26.45	>>	0	3	87
657	7350	chr1	81951830	81951811	-	14.76	34.06	>>	0	3	87
658	215	chr1	86059644	86059625	+	14.734	30.22	>>	0	3	87
659	105	chr1	52630636	52630617	-	14.734	9.89	>>	0	3	87
660	1132	chr2	174308107	174308088	+	14.69	14.67	>>	0	3	87
661	5027	chr1	99364649	99364630	-	14.6	16.03	>>	0	3	87
662	5836	chr1	109558424	109558405	+	14.49	16.98	>>	0	3	87
663	5318	chr1	58201405	58201386	-	14.48	6.883	>>	0	3	87
664	3308	chr7	137471937	137471918	+	14.445	28.83	>>	0	3	87
665	6847	chr1	26916803	26916784	+	14.414	25.05	>>	0	3	87
666	2226	chr5	87871626	87871607	-	14.414	20.39	>>	0	3	87
667	902	chr2	125252443	125252424	+	14.414	25.9	>>	0	3	87
668	20	chr1	9549185	9549166	+	14.414	19.5	>>	0	3	87
669	4676	chr1	11788608	11788589	-	14.38	31.97	>>	0	3	87
670	2977	chr7	43928727	43928708	+	14.36	11.45	>>	0	3	87
671	4435	chr1	60760656	60760637	-	14.31	36.9	>>	0	3	87
672	2481	chr6	17362958	17362939	+	14.31	3.076	>>	0	3	87
673	360	chr1	136521528	136521509	-	14.305	21.69	>>	0	3	87
674	1011	chr2	153147934	153147915	+	14.28	18.94	>>	0	3	87
675	3537	chr8	61522313	61522294	+	14.266	28.28	>>	0	3	87
676	7256	chr1	56759303	56759284	+	14.266	12.61	>>	0	3	87
677	6140	chr1	115451146	115451127	-	14.234	4.215	>>	0	3	87
678	468	chr1	176218428	176218409	+	14.195	14.99	>>	0	3	87
679	6489	chr1	97665520	97665501	-	14.18	30.02	>>	0	3	87
680	5539	chr1	20299620	20299601	+	14.18	33.25	>>	0	3	87
681	4013	chr9	59969601	59969582	-	14.14	17.69	>>	0	3	87
682	6714	chr1	57611975	57611956	+	14.055	18.66	>>	0	3	87
683	5211	chr1	15816144	15816125	+	13.984	8.52	>>	0	3	87
684	6428	chr1	82271381	82271362	-	13.95	28.55	>>	0	3	87
685	3055	chr7	74363644	74363625	-	13.95	40.8	>>	0	3	87
686	1307	chr3	73066293	73066274	+	13.95	16.86	>>	0	3	87
687	293	chr1	118772515	118772496	-	13.945	30.34	>>	0	3	87
688	1822	chr4	110020493	110020474	-	13.94	26.28	>>	0	3	87
689	1214	chr3	34639420	34639401	-	13.94	14.87	>>	0	3	87
690	934	chr2	131530224	131530205	-	13.92	25.86	>>	0	3	87
691	1566	chr4	20024128	20024109	+	13.91	12.516	>>	0	3	87
692	3575	chr8	74980870	74980851	-	13.81	30.2	>>	0	3	87
693	7327	chr1	75757719	75757700	+	13.734	18.78	>>	0	3	87
694	3119	chr7	89908147	89908128	-	13.72	13.79	>>	0	3	87
695	1990	chr4	150257406	150257387	+	13.72	23.58	>>	0	3	87
696	719	chr2	55022781	55022762	-	13.664	7.77	>>	0	3	87
697	7282	chr1	64506771	64506752	-	13.63	18.4	>>	0	3	87
698	6164	chr1	123353156	123353137	-	13.61	11.6	>>	0	3	87
699	1958	chr4	139872794	139872775	+	13.59	35.75	>>	0	3	87
700	5668	chr1	51839869	51839850	+	13.586	21.19	>>	0	3	87
701	2452	chr5	146162789	146162770	+	13.516	23.42	>>	0	3	87
702	4137	chr9	83785201	83785182	+	13.49	14.66	>>	0	3	87
703	1275	chr3	59079480	59079461	+	13.44	28.77	>>	0	3	87
704	4324	chr1	11345312	11345293	-	13.375	5.086	>>	0	3	87
705	4773	chr1	46252188	46252169	-	13.34	28.12	>>	0	3	87
706	1719	chr4	85404971	85404952	+	13.32	14.11	>>	0	3	87
707	1903	chr4	130738774	130738755	+	13.31	16.47	>>	0	3	87
708	2222	chr5	86432914	86432895	+	13.305	16.02	>>	0	3	87
709	1188	chr3	22306829	22306810	+	13.266	18.6	>>	0	3	87
710	805	chr2	91930225	91930206	-	13.25	19.55	>>	0	3	87
711	2749	chr6	108417714	108417695	+	13.234	10.66	>>	0	3	87
712	5216	chr1	17011790	17011771	-	13.16	20.73	>>	0	3	87
713	2225	chr5	87551137	87551118	-	13.15	21.52	>>	0	3	87
714	1789	chr4	106227683	106227664	-	13.14	14.38	>>	0	3	87
715	1960	chr4	139877472	139877453	+	13.1	27.4	>>	0	3	87
716	230	chr1	88742593	88742574	-	13.086	17.75	>>	0	3	87
717	1243	chr3	52254088	52254069	+	13.02	34.16	>>	0	3	87
718	4094	chr9	73159469	73159450	+	12.99	27.5	>>	0	3	87
719	2934	chr7	29297253	29297234	-	12.984	28.8	>>	0	3	87
720	5864	chr1	116312336	116312317	-	12.93	10.21	>>	0	3	87
721	1040	chr2	157117146	157117127	-	12.91	21.92	>>	0	3	87
722	4015	chr9	60243712	60243693	+	12.89	13.59	>>	0	3	87
723	481	chr1	179845066	179845047	-	12.88	17.89	>>	0	3	87
724	5059	chr1	103332754	103332735	+	12.875	24.97	>>	0	3	87
725	107	chr1	53032774	53032755	-	12.87	13.05	>>	0	3	87
726	3504	chr8	45345197	45345178	+	12.81	16.72	>>	0	3	87
727	5493	chr1	113216133	113216114	+	12.74	53.7	>>	0	3	87
728	6252	chr1	36152194	36152175	-	12.72	16.9	>>	0	3	87
729	164	chr1	72876274	72876255	+	12.69	17.11	>>	0	3	87
730	3803	chr9	14774009	14773990	+	12.664	9.0	>>	0	3	87
731	5362	chr1	74317197	74317178	-	12.664	11.76	>>	0	3	87
732	3184	chr7	107819649	107819630	-	12.64	16.3	>>	0	3	87
733	5692	chr1	55327907	55327888	+	12.64	17.61	>>	0	3	87
734	1252	chr3	54796015	54795996	+	12.63	22.77	>>	0	3	87
735	2597	chr6	60963937	60963918	+	12.61	7.094	>>	0	3	87
736	3428	chr8	21981891	21981872	-	12.61	17.33	>>	0	3	87
737	4370	chr1	38269349	38269330	-	12.52	19.28	>>	0	3	87
738	2552	chr6	51170619	51170600	-	12.5	20.02	>>	0	3	87
739	988	chr2	148110356	148110337	-	12.43	16.03	>>	0	3	87
740	228	chr1	88301823	88301804	-	12.42	19.61	>>	0	3	87
741	2762	chr6	115037959	115037940	-	12.33	15.375	>>	0	3	87
742	6568	chr1	11980974	11980955	+	12.33	3.668	>>	0	3	87
743	6270	chr1	44832771	44832752	-	12.31	24.2	>>	0	3	87
744	7439	chr1	26193888	26193869	-	12.29	7.65	>>	0	3	87
745	6799	chr1	8988263	8988244	-	12.29	10.71	>>	0	3	87
746	6043	chr1	66358860	66358841	+	12.28	18.22	>>	0	3	87
747	5276	chr1	40832432	40832413	-	12.26	13.56	>>	0	3	87
